book	booksamillion	author				
0414	1	Tracie Peterson				
0415	1	Lisa See				
0416	1	Terry Goodkind				
0417	1	Jim Butcher				
0418	1	Lee Child				
0419	1	Garth Stein				
0420	1	Kim Harrison				
0421	1	Thomas Sowell				
0422	1	Eric Lustbader				
0423	1	D. J. Machale				
0424	1	Rodman Philbrick				
0425	1	Sue Grafton				
0426	1	Ally Carter				
0427	1	Sarah Addison Allen				
0431	1	Stephanie Nelson				
0432	1	Ted Dekker				
0433	1	Beverly Barton				
0434	1	Mary Balogh				
0435	1	Jeanne Duprau				
0436	1	Lora Leigh				
0438	1	Todd Wilbur				
0439	1	Alexis Morgan				
0440	1	Mayo Clinic				
0441	1	Melissa De la Cruz				
0444	1	Robert Whitlow				
0446	1	David Baldacci				
0447	1	Philip Yancey				
0448	1	Tabor Evans				
0449	1	R. C. Ryan				
0450	1	Lisa Shearin				
0451	1	Allyson James				
0452	1	Fred Reichheld				
0453	1	Stephen King				
0454	1	Jay Mohr				
0455	1	Jayne Castle				
0456	1	Maya Angelou				
0457	1	Janet Evanovich				
0458	1	E. L. Konigsburg				
0459	1	Diana Palmer				
0460	1	Pamela Callow				
0463	1	David Baldacci				
0465	1	Christina Dodd				
0466	1	Dennis Lehane				
0467	1	Randy Alcorn				
0468	1	Laurell K. Hamilton				
0470	1	Rick Riordan				
0472	1	Thomas W. Phelan				
0473	1	J. D. Salinger				
0474	1	Mari Mancusi				
0475	1	Monica McCarty				
0476	1	Sue Grafton				
0477	1	Spencer Johnson				
0478	1	Jessica Andersen				
0479	1	Larissa Ione				
0482	1	Charles Dickens				
0483	1	Victoria Laurie				
0485	1	Steven Raichlen				
0486	1	Fern Michaels				
0487	1	Kay Arthur				
0488	1	Lili St. Crow				
0489	1	Ted Dekker				
0490	1	Erin Hunter				
0491	1	James Rollins				
0492	1	Richard Dawkins				
0493	1	Cate Tiernan				
0494	1	Jeanne Duprau				
0495	1	Cate Tiernan				
0496	1	Mary Balogh				
0497	1	Cindy Woodsmall				
0498	1	Susan Mallery				
0499	1	Jason F. Wright				
0500	1	Karen Marie Moning				
0501	1	Patricia Daniels Cornwell				
0503	1	L. A. Banks				
0504	1	Jeffrey Stepakoff				
0505	1	Linda Dillow				
0506	1	Harper Lee				
0507	1	Cindy Gerard				
0508	1	Lora Leigh				
0509	1	Shel Silverstein				
0511	1	Stephen King				
0512	1	Vince Flynn				
0513	1	Jim Butcher				
0514	1	Dr Seuss				
0516	1	Honeyb				
0517	1	Jim Butcher				
0518	1	Jared Diamond				
0519	1	Mildred D. Taylor				
0520	1	Lisi Harrison				
0521	1	Joel C. Rosenberg				
0522	1	Laurie Halse Anderson				
0524	1	Melody Beattie				
0525	1	Lisi Harrison				
0527	1	James Grippando				
0528	1	Joan Johnston				
0529	1	Elin Hilderbrand				
0530	1	Jenna Black				
0532	1	Joseph Epstein				
0533	1	Mariah Stewart				
0534	1	Sarah Maclean				
0537	1	Mark Sanborn				
0538	1	Rhyannon Byrd				
0539	1	Victoria Kann				
0540	1	Brenda Jackson				
0541	1	Mary Wollstonecraft Shelley				
0542	1	Cormac McCarthy				
0543	1	Eric Jerome Dickey				
0544	1	Gwen Cooper				
0545	1	Jeffrey Marx				
0547	1	Amanda Ashley				
0549	1	Dan Shideler				
0550	1	Jean Johnson				
0551	1	Carl Hiaasen				
0552	1	James C. Collins				
0553	1	Robert Bacal				
0554	1	Donald S. Whitney				
0555	1	Peter V. Brett				
0557	1	Brenda Joyce				
0559	1	Chris Prentiss				
0560	1	David McCullough				
0561	1	Richard Carlson				
0562	1	David Morrell				
0563	1	Shana Galen				
0564	1	Nora Roberts				
0565	1	Karen Kingsbury				
0566	1	Christy Reece				
0567	1	Kristin Cashore				
0568	1	Harold M. Silverman				
0569	1	J. R. R. Tolkien				
0570	1	Cate Tiernan				
0572	1	John Boyne				
0573	1	Karen Marie Moning				
0574	1	Richard Preston				
0575	1	Ann Rule				
0576	1	John Flanagan				
0577	1	Patrick Lencioni				
0579	1	JaQuavis Coleman				
0580	1	Dorothea Benton Frank				
0581	1	Zane				
0582	1	Anne Byrn				
0583	1	Wanda E. Brunstetter				
0584	1	Jaci Burton				
0585	1	Ken Corday				
0588	1	Betty Smith				
0589	1	Kathy Reichs				
0590	1	Nicholas Sparks				
0591	1	Sue Miller				
0592	1	Faye Kellerman				
0593	1	Sharon Creech				
0594	1	Maeve Binchy				
0595	1	P. D. James				
0596	1	Jodi Picoult				
0597	1	Janet Evanovich				
0598	1	Rob Bell				
0599	1	Kat Martin				
0600	1	Lauren Willig				
0602	1	Philip Yancey				
0603	1	Christina Dodd				
0604	1	Vanessa Kelly				
0606	1	Robert Greene				
0607	1	Lora Leigh				
0609	1	Judy Blume				
0611	1	Rachel Caine				
0612	1	Stephanie Tyler				
0613	1	Christine Warren				
0614	1	Christine Feehan				
0615	1	Joel C. Rosenberg				
0616	1	Gillian McKeith				
0617	1	Beverly Cleary				
0618	1	Jennie Bentley				
0619	1	Laura Childs				
0620	1	Ron Clark				
0621	1	Rick Riordan				
0622	1	Neil T. Anderson				
0623	1	Dietrich Bonhoeffer				
0624	1	Anne Rice				
0625	1	Thomas Greanias				
0626	1	Danielle Steel				
0627	1	Diana Palmer				
0629	1	Dr Seuss				
0631	1	Ted Nugent				
0633	1	Eckhart Tolle				
0634	1	T. J. Stiles				
0635	1	Alexandra Benedict				
0637	1	Barbara Freethy				
0638	1	Ted Dekker				
0639	1	Shane Claiborne				
0640	1	Mo Willems				
0641	1	Elizabeth George Speare				
0642	1	Joseph Finder				
0643	1	Alex Berenson				
0644	1	Erin Hunter				
0645	1	Tony Hsieh				
0646	1	Jerry Bridges				
0647	1	Mary Pope Osborne				
0648	1	Ariana Franklin				
0649	1	Jill Mansell				
0650	1	Roger Rosenblatt				
0651	1	Faith Hunter				
0652	1	Susan Johnson				
0653	1	Tim Russert				
0654	1	Beverly Cleary				
0656	1	David J. Schwartz				
0657	1	Stephen Coonts				
0659	1	Susan Wiggs				
0661	1	Christopher Reich				
0662	1	Anthony Horowitz				
0663	1	Louise L. Hay				
0666	1	Graham McNeill				
0669	1	C. J. Box				
0670	1	John C. Maxwell				
0671	1	Jim Butcher				
0672	1	Lisa Kleypas				
0673	1	Dominic Lieven				
0674	1	Leann Sweeney				
0675	1	Jim Wallis				
0677	1	Brenda Jackson				
0678	1	Jean Johnson				
0680	1	James C. Dobson				
0681	1	Thomas Perry				
0682	1	Dave Lifton				
0683	1	Matt Bondurant				
0684	1	James L. Wilson				
0687	1	Simon R. Green				
0688	1	Maureen Smith				
0689	1	Adrianne Byrd				
0690	1	Gail Carriger				
0691	1	Jessica Beck				
0692	1	Anita Shreve				
0693	1	Christina Dodd				
0694	1	Cate Tiernan				
0695	1	Sue Grafton				
0697	1	Harlan Coben				
0700	1	Tabor Evans				
0701	1	Brenda Novak				
0703	1	Douglas Preston				
0704	1	Ayn Rand				
0706	1	Neil Rackham				
0707	1	Mary Kay Andrews				
0708	1	Sara Donati				
0710	1	Stuart Woods				
0711	1	Jaime Rush				
0712	1	Dean R. Koontz				
0713	1	Beth Moore				
0715	1	Karen Chance				
0717	1	Kathy Reichs				
0718	1	Jeffrey Gitomer				
0719	1	United States Conference of Catholic Bis				
0721	1	Dr Seuss				
0722	1	P. C. Cast				
0725	1	Stormie Omartian				
0726	1	Cammie McGovern				
0728	1	Nora Roberts				
0729	1	Brennan Manning				
0730	1	Leif Enger				
0731	1	Don Pendleton				
0732	1	Brenda Joyce				
0733	1	Rachel Hawthorne				
0734	1	Ellen Schreiber				
0735	1	Max Lucado				
0736	1	Jordan Sonnenblick				
0739	1	Christine Feehan				
0741	1	Stephen R. Covey				
0742	1	Dr Seuss				
0743	1	Raymond Khoury				
0744	1	Erin Hunter				
0746	1	Karen Kingsbury				
0749	1	A. N. Roquelaure				
0752	1	Dean R. Koontz				
0753	1	Cheyenne McCray				
0754	1	Chloe Neill				
0756	1	Olive Ann Burns				
0757	1	Janet Evanovich				
0760	1	Obert Skye				
0761	1	Shayla Black				
0763	1	C. J. Cherryh				
0764	1	Dorothea Benton Frank				
0765	1	Allison Brennan				
0766	1	Nora Roberts				
0769	1	Charles Dickens				
0770	1	Jacquelyn Frank				
0771	1	Stephen King				
0772	1	Adeline Yen Mah				
0774	1	David S. Kahn				
0775	1	Kathy Reichs				
0776	1	Harry Markopolos				
0777	1	Debbie Macomber				
0778	1	Nalini Singh				
0779	1	Toni Morrison				
0781	1	Brian L. Weiss				
0783	1	Adam Campbell				
0784	1	Richard A. Knaak				
0786	1	Yasmine Galenorn				
0787	1	Katherine Howe				
0789	1	P. N. Elrod				
0790	1	Zondervan Publishing				
0791	1	Susan Richards				
0792	1	David Baldacci				
0795	1	P. C. Cast				
0796	1	Tamara Leigh				
0797	1	Brent Weeks				
0802	1	Richelle Mead				
0803	1	Ronald L. Nickelson				
0805	1	Beverly Barton				
0806	1	Karen C. Comerford				
0807	1	Alyssa Day				
0808	1	Stephen Prothero				
0809	1	Anna Godbersen				
0811	1	Anne Rice				
0812	1	Sabrina Jeffries				
0813	1	John Ringo				
0814	1	Bam Margera				
0815	1	Lisi Harrison				
0816	1	Lorrie Moore				
0817	1	Bruce Tulgan				
0818	1	John Connolly				
0819	1	Dorothea Benton Frank				
0820	1	L. A. Banks				
0822	1	Sandra Boynton				
0823	1	Noire				
0825	1	Southern Living Magazine				
0826	1	Christopher Paolini				
0830	1	Gil McNeil				
0831	1	Lori Foster				
0833	1	Adam Robinson				
0835	1	Joseph J. Ellis				
0836	1	Tennessee Williams				
0837	1	S. E. Hinton				
0838	1	Sam Silverstein				
0840	1	Joel C. Rosenberg				
0841	1	Steve Vander Ark				
0842	1	Diane Duane				
0843	1	David Wroblewski				
0844	1	Inspirio				
0846	1	Bernard Evslin				
0847	1	Bill Madden				
0848	1	Tamora Pierce				
0849	1	Hannah Howell				
0851	1	Kelley Armstrong				
0852	1	Erin Hunter				
0853	1	Kanoko Sakurakoji				
0854	1	Jacquelyn Mitchard				
0855	1	Susane Colasanti				
0856	1	Sheila Connolly				
0858	1	Marc A. Thiessen				
0859	1	Karen Hawkins				
0860	1	Sarah Dessen				
0861	1	Erin Hunter				
0862	1	John Grisham				
0863	1	Joseph Miralles				
0864	1	Terry Brooks				
0867	1	Linda Howard				
0868	1	Angela Knight				
0869	1	Stephanie O'dea				
0870	1	Karen Harper				
0871	1	Bill O'Reilly				
0872	1	Zondervan Publishing				
0873	1	MaryJanice Davidson				
0874	1	Lisa Jackson				
0875	1	Christine Feehan				
0876	1	Andy Andrews				
0878	1	Chika Shiomi				
0879	1	Cecily Von Ziegesar				
0880	1	Michael Jecks				
0881	1	Josh Kilmer-purcell				
0882	1	Old Farmer's Almanac				
0883	1	Brenda Novak				
0885	1	Michelle Plonk				
0886	1	Colleen Coble				
0887	1	Judith Jones				
0888	1	John Glatt				
0890	1	Jen Lancaster				
0892	1	Robert Jordan				
0893	1	Hagin Kenneth E.				
0894	1	Nalini Singh				
0895	1	Jonathan Safran Foer				
0898	1	Kaplan				
0899	1	Kay Hooper				
0900	1	R. T. Kendall				
0901	1	Lora Leigh				
0902	1	James Rollins				
0903	1	Christine Feehan				
0905	1	Nora Roberts				
0906	1	Amy Clipston				
0907	1	Max Hastings				
0909	1	Lisa Jackson				
0910	1	Lynn Viehl				
0912	1	Gene M. Hammitt				
0913	1	Charles Dickens				
0914	1	Eric Carle				
0915	1	Sherryl Woods				
0916	1	Carrie Ryan				
0919	1	Beth Moore				
0922	1	Patricia Schultz				
0923	1	James Patterson				
0924	1	Ilona Andrews				
0925	1	Lisa Mantchev				
0926	1	Christopher Reich				
0927	1	Tilly Bagshawe				
0928	1	Lloyd Daggett Richard Lloyd Daggett				
0929	1	Niall Ferguson				
0931	1	Iris Johansen				
0932	1	Beth Moore				
0933	1	Merriam-Webster				
0934	1	Tyndale House Publishers				
0935	1	Randy C. Alcorn				
0936	1	John Grisham				
0939	1	Diana Palmer				
0940	1	Zondervan Bibles				
0942	1	Kaplan Publishing				
0943	1	W. E. B. Griffin				
0944	1	Carl Hiaasen				
0945	1	Charlaine Harris				
0946	1	Ian Falconer				
0947	1	Bill Johnson				
0948	1	Sterling Publishing Company				
0949	1	J. Richard Hackman				
0950	1	Jodi Picoult				
0951	1	Saul David Alinsky				
0952	1	Max Lucado				
0954	1	Anita Shreve				
0956	1	John Sandford				
0958	1	Yann Martel				
0959	1	Jennifer Weiner				
0961	1	Christine Johnson				
0962	1	L. A. Meyer				
0963	1	Ridley Pearson				
0966	1	Klutz				
0968	1	Nora Roberts				
0969	1	John T. Lescroart				
0971	1	David Baldacci				
0973	1	Diane Chamberlain				
0975	1	Howard Bryant				
0976	1	James W. Huston				
0977	1	Darren Shan				
0978	1	Wallace Wang				
0979	1	Erwin Raphael McManus				
0980	1	Joyce Meyer				
0981	1	Brad Thor				
0982	1	Mary Jane Sterling				
0983	1	Ted Bell				
0984	1	Frank Damazio				
0985	1	Sidney Sheldon				
0986	1	Thomas E. Sniegoski				
0987	1	Erin Hunter				
0988	1	William W. Johnstone				
0989	1	Pamela Palmer				
0990	1	Joel Rosenberg				
0992	1	Zane				
0995	1	Susan Sizemore				
0996	1	Joel Osteen				
0998	1	Lori Copeland				
0999	1	Kiki Swinson				
1000	1	Shannon McKenna				
1001	1	Sophie Kinsella				
1002	1	Lisa Gardner				
1004	1	Shayla Black				
1005	1	Elizabeth Lesser				
1006	1	Dr Seuss				
1008	1	Terry Goodkind				
1010	1	Anita Shreve				
1012	1	J. R. Roberts				
1016	1	Stephenie Meyer				
1017	1	Michael Connelly				
1018	1	Warren Hanson				
1021	1	P. D. Eastman				
1023	1	Andrew Klavan				
1024	1	Tamar Myers				
1026	1	Michael Grant				
1028	1	Anne Perry				
1030	1	Nora Roberts				
1031	1	Cinda Williams Chima				
1032	1	Mary Higgins Clark				
1033	1	Joyce Meyer				
1034	1	John Burke				
1035	1	Stormie Omartian				
1036	1	Sue Grafton				
1037	1	Jerry Spinelli				
1040	1	Dr Seuss				
1041	1	Nora Roberts				
1042	1	David M. Walker				
1044	1	Fern Michaels				
1045	1	Jack Higgins				
1048	1	Dorling Kindersley Publishing				
1051	1	Melody Carlson				
1052	1	Thomas Sowell				
1053	1	Gayle Lynds				
1054	1	Brenda Jackson				
1055	1	Alan Greenspan				
1056	1	Kurt Eichenwald				
1057	1	W. E. B. Griffin				
1058	1	John Ortberg				
1059	1	Merriam-Webster				
1061	1	Leslie D. Weatherhead				
1062	1	David Freddoso				
1063	1	Abraham Verghese				
1064	1	Perry Stone				
1065	1	Kevin Alan Milne				
1066	1	Heidi R. Kling				
1067	1	Robyn Carr				
1068	1	David Weber				
1069	1	Beverly Lewis				
1070	1	Fannie Flagg				
1071	1	Shelly Laurenston				
1073	1	Arthur Miller				
1074	1	Joanna Carl				
1075	1	Ruth Reichl				
1076	1	jr. Roy Blount				
1077	1	Wendy Chant				
1078	1	Lorelei James				
1079	1	Kate Collins				
1081	1	Andrew Peterson				
1083	1	Nora Roberts				
1084	1	Paul Foglino				
1085	1	Kiki Swinson				
1086	1	Elizabeth Amber				
1087	1	Masashi Kishimoto				
1089	1	Karen Robards				
1090	1	Sara Shepard				
1092	1	Kimberla Lawson Roby				
1093	1	Erin Hunter				
1095	1	Judy Blume				
1096	1	Rebecca Elliott				
1097	1	Geraldine Brooks				
1099	1	Mercer Mayer				
1100	1	Craig Johnson				
1101	1	Lauraine Snelling				
1102	1	Carolyn Keene				
1104	1	Stephanie Laurens				
1106	1	Gary Chapman				
1107	1	Charlaine Harris				
1108	1	Zane				
1109	1	David Baldacci				
1110	1	Ken Follett				
1111	1	Jayne Castle				
1112	1	Will Adams				
1117	1	Anthony Horowitz				
1118	1	Jerry Bridges				
1119	1	Carol Kent				
1121	1	Lee Cockerell				
1122	1	Diarmaid MacCulloch				
1123	1	Rochelle Alers				
1124	1	Shayla Black				
1126	1	Harry Dolan				
1127	1	Laurell K. Hamilton				
1128	1	Anthony Bourdain				
1129	1	Nora Roberts				
1130	1	Sue Grafton				
1131	1	Karen Kingsbury				
1132	1	James Patterson				
1133	1	Stephen J. Sansweet				
1134	1	Daniel Coyle				
1135	1	Jessica Andersen				
1136	1	Joe Posnanski				
1138	1	Jo Davis				
1139	1	Henry Cole				
1140	1	Kelly Kennedy				
1141	1	Wayne W. Dyer				
1142	1	Tom Brokaw				
1144	1	David J. Miklowitz				
1145	1	Houghton Mifflin Company				
1146	1	Lisi Harrison				
1147	1	Christy Evans				
1148	1	Brenda Joyce				
1149	1	Pearl Cleage				
1152	1	Devon Monk				
1153	1	Jhumpa Lahiri				
1154	1	Steve Alten				
1155	1	Sophie Kinsella				
1158	1	Philippa Gregory				
1159	1	Karen Kingsbury				
1161	1	Clive Cussler				
1162	1	James Axler				
1164	1	Tracie Peterson				
1165	1	Charlie Higson				
1166	1	Luann McLane				
1167	1	Sunny				
1168	1	Brenda Jackson				
1170	1	Nikki Turner				
1171	1	Max Lucado				
1172	1	Robert B. Parker				
1173	1	Arthur Conan Doyle				
1175	1	Thomas W. Frankland				
1178	1	Yuki Yoshihara				
1179	1	Corey Mitchell				
1180	1	Sara Paretsky				
1183	1	L. A. Banks				
1184	1	Masashi Kishimoto				
1185	1	Peter Walsh				
1186	1	W. E. B. Griffin				
1187	1	James Strong				
1189	1	Karen Kingsbury				
1190	1	Matsuri Hino				
1191	1	Rumiko Takahashi				
1192	1	Mary Alice Monroe				
1193	1	Andrew M. Greeley				
1196	1	Marshall Karp				
1197	1	Stephanie Tyler				
1199	1	Wiley Publishing				
1200	1	Terry Brooks				
1201	1	L. A. Banks				
1202	1	Nancy Farmer				
1203	1	Lynne Cherry				
1204	1	Catherine Coulter				
1205	1	Dorothea Benton Frank				
1206	1	Jimmy McDonough				
1207	1	Nina Bangs				
1208	1	Jeffrey Toobin				
1210	1	Karin Slaughter				
1211	1	Zane				
1212	1	Dan Brown				
1213	1	Michael Agnes				
1214	1	Amanda Ashley				
1216	1	Sandra Lee				
1217	1	Michael Lewis				
1220	1	Joanna Philbin				
1221	1	David Sheff				
1223	1	Kate Walbert				
1224	1	Monte Reel				
1225	1	Harvey Sachs				
1226	1	Matthew Sernett				
1227	1	Laura Nathan-garner				
1231	1	Susan Wiggs				
1232	1	Karen Ranney				
1233	1	Wanda E. Brunstetter				
1235	1	Tyndale House Publishers				
1236	1	Tess Gerritsen				
1237	1	Carl Hiaasen				
1238	1	Zane				
1241	1	Marjorie Kinnan Rawlings				
1242	1	Homer H. Hickam				
1243	1	Anne Rice				
1244	1	Debbie Macomber				
1245	1	James Brady				
1248	1	Stephenie Meyer				
1250	1	Zane				
1252	1	Lisa Gardner				
1255	1	Lisa Gardner				
1256	1	Jean Craighead George				
1257	1	Spencer Quinn				
1258	1	Annette Gordon-Reed				
1259	1	Christie Golden				
1260	1	Masashi Kishimoto				
1261	1	Cheyenne McCray				
1262	1	Zyrus Press				
1264	1	Bill Clegg				
1265	1	Ellen Horan				
1266	1	Kathy Freston				
1267	1	Lisa Kleypas				
1270	1	Max Lucado				
1271	1	Cressida Cowell				
1273	1	R. A. Salvatore				
1276	1	Raymond Khoury				
1278	1	Amanda Ashley				
1279	1	Karen Kingsbury				
1281	1	John Sandford				
1284	1	Joanne Fluke				
1285	1	Carly Phillips				
1286	1	Fern Michaels				
1287	1	Stephanie Tyler				
1288	1	Frank Miniter				
1289	1	Thomas L. Friedman				
1292	1	Monica McCarty				
1294	1	Michele Bardsley				
1295	1	Amity Shlaes				
1296	1	Gary D. Schmidt				
1297	1	Frank Warren				
1298	1	Jorge Cervantes				
1301	1	Francine Rivers				
1302	1	David McCullough				
1303	1	John Grogan				
1305	1	Peter Straub				
1307	1	Daniel Suarez				
1308	1	Jen Calonita				
1309	1	Masashi Kishimoto				
1310	1	Mark Stein				
1311	1	Maya Banks				
1312	1	Catherine Anderson				
1314	1	Sara Shepard				
1315	1	J. D. Robb				
1316	1	R. A. Salvatore				
1317	1	Amanda Ashley				
1318	1	Alexis Morgan				
1319	1	Monica McCarty				
1320	1	Jake Logan				
1321	1	Sarah Mlynowski				
1322	1	Dan Ariely				
1323	1	Masashi Kishimoto				
1324	1	Kathryn Caskie				
1326	1	Richard Baker				
1327	1	Renee Bernard				
1329	1	Stacia Kane				
1330	1	Ruth Harris				
1331	1	Alyxandra Harvey				
1332	1	Princeton Review				
1333	1	Christine Barber				
1334	1	Annie Wedekind				
1335	1	Dana Haynes				
1336	1	Jim Michaels				
1340	1	Mercer Mayer				
1341	1	Erin Hunter				
1342	1	Kay Hooper				
1344	1	Nora Roberts				
1345	1	Debbie Macomber				
1346	1	Frank Schaffer Publications				
1347	1	Francine Rivers				
1348	1	Lynn Kurland				
1351	1	Barbara Taylor Bradford				
1352	1	Jeffry P. Lindsay				
1353	1	Richard Paul Evans				
1354	1	Stuart Woods				
1356	1	R. A. Salvatore				
1357	1	Ina Garten				
1360	1	Linda Rios Brook				
1361	1	Christine Wells				
1362	1	Erin Quinn				
1363	1	Dan Brown				
1364	1	Phillip Margolin				
1366	1	V. C. Andrews				
1367	1	Cris Silvestri				
1368	1	Bella Andre				
1369	1	Connie Brockway				
1370	1	Erica Spindler				
1372	1	Natsuki Takaya				
1374	1	Tyndale House Publishers				
1375	1	Deepak Chopra				
1378	1	Hannah Howell				
1381	1	Shel Silverstein				
1382	1	Stephanie Laurens				
1383	1	Kimberly Daniels				
1385	1	Tom Burrell				
1386	1	Zane				
1389	1	Anita Shreve				
1390	1	Marianne Williamson				
1391	1	Barry J. Beitzel				
1392	1	Teri Woods				
1393	1	Kresley Cole				
1394	1	Lisa Gardner				
1397	1	Rick Warren				
1399	1	Stephanie Laurens				
1400	1	Robert Jordan				
1401	1	Michael Connelly				
1403	1	Linda Urban				
1404	1	Jeff Shesol				
1405	1	Sara Shepard				
1408	1	Anna Godbersen				
1409	1	Cinda Williams Chima				
1410	1	V. C. Andrews				
1411	1	Laura Bush				
1412	1	Tsugumi Ohba				
1413	1	Shelly Laurenston				
1414	1	Marian Keyes				
1415	1	Rick Atkinson				
1416	1	Ann Patchett				
1417	1	Judy Blume				
1418	1	Xaq Pitkow				
1419	1	Neale Donald Walsch				
1421	1	Stephen King				
1422	1	Joyce Meyer				
1423	1	Jr. Martin Luther King				
1427	1	Terry Goodkind				
1429	1	Kenneth E. Hagin				
1430	1	Barbara Strauch				
1431	1	Stephen White				
1432	1	William W. Johnstone				
1434	1	Dave Cullen				
1437	1	Ed Slott				
1438	1	John C. Maxwell				
1439	1	Linda Lael Miller				
1440	1	Joshilyn Jackson				
1441	1	Mary Higgins Clark				
1444	1	John MacArthur				
1445	1	Andy Rathbone				
1446	1	Toni Morrison				
1448	1	Joyce Meyer				
1449	1	Kenneth E. Hagin				
1450	1	Lee J. Colan				
1451	1	Neal Shusterman				
1452	1	Karen MacInerney				
1453	1	Rochelle Alers				
1454	1	R. L. Stine				
1455	1	Franklin W. Dixon				
1456	1	Tite Kubo				
1458	1	Tracy Kidder				
1459	1	Richard Russo				
1460	1	Cherry Adair				
1461	1	Dave Ramsey				
1462	1	Andy Stanley				
1463	1	Kia DuPree				
1465	1	Chet Nicholson				
1466	1	JoAnn Ross				
1467	1	Daniel J. Levitin				
1469	1	Robert Lewis				
1470	1	Andy Stanley				
1471	1	Steven Gould				
1472	1	John Sandford				
1473	1	Jane Orcutt				
1475	1	Taste of Home				
1476	1	Robert B. Parker				
1477	1	Ron Rash				
1478	1	Tite Kubo				
1479	1	Beverly Barton				
1480	1	R. A. Salvatore				
1482	1	Charlaine Harris				
1483	1	James Dobson				
1485	1	Stormie Omartian				
1486	1	Susan Scott				
1487	1	P. D. Eastman				
1488	1	Tennessee Williams				
1489	1	Jason Bulmahn				
1491	1	Bianca D'arc				
1493	1	III H. W. Crocker				
1494	1	Heather Graham				
1495	1	Kaplan				
1496	1	Jeff Stone				
1497	1	Amanda Scott				
1499	1	Burton Raffel				
1500	1	Atul Gawande				
1501	1	Stephen King				
1503	1	Timothy Egan				
1504	1	John Bevere				
1505	1	Margaret Peterson Haddix				
1509	1	Bentley Little				
1510	1	Denise Hunter				
1513	1	Carla Emery				
1514	1	Victoria Christopher Murray				
1515	1	Nancy E. Turner				
1516	1	Tim Dorsey				
1518	1	Sherry Willard Kinkoph				
1520	1	Paula H. Deen				
1521	1	Joel Rosenberg				
1522	1	Nora Roberts				
1523	1	Richard Preston				
1524	1	Nora Roberts				
1525	1	Robert Crais				
1526	1	Susan Veness				
1527	1	Mark Zegarelli				
1528	1	Julie Garwood				
1530	1	Joe Abercrombie				
1531	1	Trisha R. Thomas				
1533	1	Milady				
1534	1	Jeb Blount				
1535	1	Bruce H. Lipton				
1536	1	Barack Obama				
1538	1	James Bryan Smith				
1539	1	Robin Furth				
1540	1	Dale Brown				
1541	1	Douglas A. Blackmon				
1542	1	Judy Blume				
1543	1	Matsuri Hino				
1544	1	Harlan Coben				
1547	1	Josh McDowell				
1548	1	John Howard Griffin				
1549	1	Paul Galdone				
1550	1	Luanne Rice				
1552	1	Emilie Richards				
1553	1	Bill Bryson				
1554	1	Corinne T. Netzer				
1555	1	Jennifer Estep				
1557	1	Kathryn Smith				
1561	1	Emma Holly				
1562	1	Spencer Quinn				
1563	1	David Pogue				
1564	1	Dee Davis				
1565	1	Tami Hoag				
1566	1	Max Lucado				
1567	1	Alexandra Ripley				
1568	1	Suze Orman				
1569	1	Jenn Mckinlay				
1571	1	Karin Slaughter				
1573	1	Beth Moore				
1574	1	Harry Bernstein				
1575	1	Steve Martin				
1577	1	Philip Carlo				
1578	1	Phillip E. Pack				
1580	1	Sandra Brown				
1582	1	Noire				
1583	1	Alexander McCall Smith				
1584	1	Dave Ramsey				
1585	1	Linda Lael Miller				
1586	1	Wilson Rawls				
1589	1	Bill O'Reilly				
1590	1	Matsuri Hino				
1591	1	Michael Grant				
1592	1	Kate Douglas				
1593	1	Charles Martin				
1594	1	Lori Wick				
1597	1	David Bach				
1598	1	Daniel Lapin				
1600	1	Tyndale House Publishers				
1601	1	Diana Gabaldon				
1602	1	Max Lucado				
1604	1	Kathleen Kent				
1605	1	Tommy Ford				
1607	1	Carol Burnett				
1608	1	Meg Waite Clayton				
1610	1	Karen Traviss				
1611	1	Brandon Sanderson				
1612	1	Paula Deen				
1615	1	Terri Blackstock				
1616	1	Darren Shan				
1619	1	Janet Evanovich				
1621	1	Jane Austen				
1623	1	Lisi Harrison				
1624	1	Suzanne Collins				
1625	1	Tess Gerritsen				
1627	1	Louis L'Amour				
1628	1	David Sedaris				
1629	1	Dorothy Allison				
1630	1	Spencer Johnson				
1631	1	Jack Kerouac				
1632	1	Robert McCloskey				
1633	1	Dr Seuss				
1634	1	Marcus Buckingham				
1637	1	Jim Knipfel				
1638	1	Rosemary Laurey				
1640	1	Karen Witemeyer				
1641	1	Ryder Windham				
1642	1	Sarah Maclean				
1643	1	Frank Leslie				
1644	1	Jo Beverley				
1645	1	Lisa Jackson				
1647	1	Zondervan Bibles				
1648	1	Deborah Vogts				
1649	1	Peter Beinart				
1650	1	Kenneth Oppel				
1651	1	Bella Andre				
1652	1	Stuart Woods				
1653	1	College Board				
1654	1	Debbie Macomber				
1655	1	Lois Lowry				
1656	1	Catherine Saunders				
1658	1	Alton Brown				
1660	1	Lundy Bancroft				
1661	1	Sue Grafton				
1662	1	Beverly Lewis				
1663	1	Stephanie Laurens				
1664	1	Elizabeth Winthrop				
1665	1	A. J. Russell				
1666	1	Johanna Lindsey				
1667	1	Michael A. Martin				
1668	1	Gail Vaz-Oxlade				
1669	1	Ian C. Esslemont				
1670	1	Matthew Woodring Stover				
1671	1	Aaron Dembski-Bowden				
1672	1	David Thompson				
1673	1	Jack Higgins				
1674	1	Anne Rice				
1675	1	American Girl				
1676	1	Steve Berry				
