book	barnesandnoble	author					
1106	1	Graduate Management Admissions Council					
1107	1	Martin Evening					
1108	1	Markus Zusak					
1109	1	Sherrilyn Kenyon					
1110	1	Susan Beth Pfeffer					
1111	1	Astrid Lindgren					
1112	1	Vince Flynn					
1113	1	Carrie Vaughn					
1114	1	Harlan Coben					
1115	1	Harmony Clearwater Grace					
1116	1	Mary Sheedy Kurcinka					
1117	1	Franz Kafka					
1118	1	Charles Darwin					
1119	1	Tana French					
1120	1	Julie Hyzy					
1122	1	Roger R. Hock					
1124	1	Mark Millar					
1125	1	Cressida Cowell					
1127	1	Elizabeth Lowell					
1128	1	John Ficarra					
1129	1	T. Jefferson Parker					
1130	1	Douglas Preston					
1131	1	Ted Dekker					
1132	1	Anthony Horowitz					
1133	1	Frewin Jones					
1134	1	Ruby Gettinger					
1135	1	Allan J. Hamilton					
1136	1	National Geographic					
1138	1	Kate Jacobs					
1139	1	Christopher Hitchens					
1140	1	Melanie Gerth					
1141	1	Peter Reinhart					
1142	1	Andrew Gross					
1143	1	C. J. Box					
1145	1	Elizabeth Edge					
1146	1	Mari Mancusi					
1147	1	Robert Kennedy					
1148	1	Scott Sigler					
1149	1	Daniel Waters					
1150	1	Jeffrey Marx					
1151	1	Jamie Lee Curtis					
1154	1	Andrew Davidson					
1155	1	James Patterson					
1156	1	SparkNotes Editors					
1158	1	Angela Knight					
1159	1	Ernest Hemingway					
1160	1	Lorna Barrett					
1161	1	Andy Rathbone					
1162	1	Sarah MacLean					
1163	1	Wayne W. Dyer					
1165	1	School Specialty Publishing					
1166	1	Catherine Anderson					
1167	1	Al Sears					
1168	1	Barbara Brown Taylor					
1170	1	Homer Hickam					
1171	1	P. C. Cast					
1172	1	Rachael Ray					
1173	1	Walter Dean Myers					
1174	1	Jared Diamond					
1175	1	Kim Harrison					
1176	1	Ruth Yaron					
1177	1	Deborah Ellis					
1178	1	Steven Pressfield					
1180	1	Linda Sue Park					
1181	1	El Torres					
1182	1	Henry David Thoreau					
1184	1	Katharine Holabird					
1185	1	Brian D. McLaren					
1186	1	John O'Donohue					
1187	1	N. Gregory Mankiw					
1188	1	AA Services AA Services					
1189	1	Jimmy Breslin					
1191	1	Charlene Costanzo					
1193	1	Gwen Cooper					
1194	1	Charlaine Harris					
1195	1	Laura Schlessinger					
1196	1	Joseph Delaney					
1198	1	Richard Wolffe					
1199	1	Clive Cussler					
1200	1	Eric Carle					
1201	1	Colin Arrowsmith					
1202	1	Orel Protopopescu					
1203	1	Dan Simmons					
1204	1	Carolyn G. Hart					
1205	1	Linda Lael Miller					
1206	1	Malinda Lo					
1207	1	Nora Roberts					
1208	1	Norris Church Mailer					
1209	1	Candace Camp					
1210	1	James Patterson					
1211	1	Robert McCammon					
1213	1	Toni Morrison					
1214	1	Marisa de los Santos					
1215	1	John Flanagan					
1216	1	Sloane Crosley					
1217	1	Kaplan					
1218	1	B.K.S. Iyengar					
1219	1	Rand McNally					
1220	1	Lois Lowry					
1222	1	Susan Mallery					
1223	1	Diane Ackerman					
1224	1	Theresa Cheung					
1225	1	Laura Ingalls Wilder					
1227	1	Charla Krupp					
1229	1	Cate Tiernan					
1230	1	Jeanne DuPrau					
1231	1	Betty Edwards					
1232	1	Susan Gregory					
1233	1	Joey W. Hill					
1234	1	Suze Orman					
1235	1	Mary Pope Osborne					
1238	1	Whoopi Goldberg					
1239	1	Debbie Macomber					
1240	1	Chris Blatchford					
1241	1	Joseph J. Ellis					
1242	1	Carmen Agra Deedy					
1245	1	Wendell Odom					
1246	1	Lisa McCourt					
1247	1	Jennifer Weiner					
1248	1	Foundation For Inner Peace					
1249	1	Jerry Z. Muller					
1250	1	The Culinary Institute of America					
1251	1	Laurie Faria Stolarz					
1252	1	Charlaine Harris					
1253	1	Martin Amis					
1254	1	Jonathan Phillips					
1255	1	Laurie Halse Anderson					
1256	1	E. Lynn Harris					
1257	1	Laura Childs					
1258	1	Rita Carter					
1259	1	Paolo Giordano					
1260	1	Philipp Keel					
1261	1	David V. Herlihy					
1262	1	Karen Maitland					
1263	1	Ken Auletta					
1264	1	Cecily von Ziegesar					
1266	1	Danielle Staub					
1267	1	Bam Margera					
1268	1	Sy Montgomery					
1269	1	Julie Anne Peters					
1270	1	Eddi Fiegel					
1271	1	Bonnie L. Sose					
1272	1	Lee Goldberg					
1273	1	John C. Maxwell					
1274	1	Jonathan J. McCullough					
1275	1	Isabel Allende					
1276	1	Patrick M. Lencioni					
1277	1	Lisa Barnes					
1278	1	Sherrilyn Kenyon					
1279	1	Julie Danneberg					
1280	1	John Hart					
1281	1	Dan Brown					
1283	1	PIGGYBACK					
1284	1	Jennifer Chiaverini					
1285	1	Gary L. Thomas					
1286	1	Kim Harrison					
1287	1	John Grisham					
1288	1	Mary Pope Osborne					
1289	1	Tessa Dare					
1290	1	Nora Roberts					
1292	1	Susan Mallery					
1293	1	Rosetta Stone					
1294	1	Jacob Teitelbaum					
1295	1	Bret Easton Ellis					
1296	1	Edy G. Schaffer					
1297	1	Miguel Ruiz					
1298	1	Kaplan					
1299	1	Mercer Mayer					
1300	1	Princeton Review					
1301	1	Mary Balogh					
1302	1	Eric Carle					
1303	1	Dave Eggers					
1304	1	Michele Scicolone					
1305	1	Gary Paulsen					
1306	1	Tedd Arnold					
1307	1	Oxford Dictionaries					
1308	1	John D. Lukacs					
1309	1	Anna Nilsen					
1310	1	Barrett Tillman					
1311	1	Bobbi Brown					
1312	1	Sydney Eddison					
1313	1	Erin Hunter					
1314	1	Kevin Henkes					
1316	1	Christopher Reich					
1317	1	Lemony Snicket					
1318	1	R. W. Apple Jr.					
1319	1	John Wooden					
1320	1	Marcus Buckingham					
1321	1	Sherrilyn Kenyon					
1322	1	Patrick Robinson					
1323	1	Alyssa Satin Capucilli					
1324	1	Hilary Spurling					
1325	1	Donald S. Passman					
1326	1	Bill Geerhart					
1327	1	Diana Gabaldon					
1330	1	Pema Chodron					
1331	1	Zondervan Publishing House					
1332	1	Jennifer Lynn Barnes					
1333	1	Rhonda Byrne					
1334	1	Upton Sinclair					
1335	1	Linda Lael Miller					
1337	1	C. S. Lewis					
1338	1	Ellen Galinsky					
1339	1	Shayla Black					
1340	1	Ellen Schreiber					
1341	1	Julie Otsuka					
1342	1	Madeleine L'Engle					
1343	1	Anonymous					
1344	1	Arthur Miller					
1345	1	Michael Grant					
1346	1	Lee Child					
1347	1	Kristan Higgins					
1351	1	Marcia Brown					
1352	1	Paul Falcone					
1353	1	John Berendt					
1354	1	Robert Crais					
1355	1	Megan McDonald					
1356	1	Jenny Downham					
1357	1	Jennifer Weiner					
1358	1	Chuck Palahniuk					
1359	1	John Boyne					
1360	1	Michael Connelly					
1361	1	Fern Michaels					
1362	1	Victoria Forester					
1363	1	Darren Shan					
1364	1	Andrew Clements					
1365	1	Napoleon Hill					
1366	1	Jules Verne					
1367	1	Candace Bushnell					
1368	1	Sharon M. Draper					
1369	1	Janet Evanovich					
1370	1	Jenifer Morse					
1372	1	Max Lucado					
1373	1	Blue Balliett					
1374	1	Robert B. Parker					
1375	1	Dennis Lehane					
1376	1	Nikolai Grozni					
1377	1	Melissa de la Cruz					
1378	1	David McKee					
1379	1	Sam Lipsyte					
1380	1	Barack Obama					
1381	1	Michael Buckley					
1383	1	Ralph Peters					
1384	1	Robert Kraus					
1386	1	Dr. Seuss					
1387	1	Gayle Haggard					
1388	1	Rhoda Janzen					
1389	1	Melinda Snodgrass					
1390	1	Kathy Hoopmann					
1391	1	Simon Winchester					
1392	1	Elizabeth Edwards					
1393	1	Fern Michaels					
1394	1	Dr. Seuss					
1395	1	Elizabeth Scott					
1397	1	Gloria Copeland					
1398	1	Angelo Acquista					
1399	1	Alanna Kalb					
1401	1	Larry Tye					
1402	1	Christopher Paolini					
1403	1	Terry Goodkind					
1404	1	Alexander Solzhenitsyn					
1405	1	Robyn Carr					
1406	1	Paulo Freire					
1407	1	Deborah C. Gray Morris					
1408	1	Robert Lee Brewer					
1409	1	Francis S. Collins					
1410	1	Richelle Mead					
1411	1	Haruki Murakami					
1412	1	Laura Childs					
1414	1	Kate Douglas					
1415	1	Gary Paulsen					
1416	1	Atul Gawande					
1417	1	Pat Conroy					
1420	1	Doughty					
1421	1	William Shakespeare					
1422	1	Aimee Buckner					
1423	1	Cate Tiernan					
1425	1	Philippa Gregory					
1426	1	Dan Chaon					
1427	1	David Beckham					
1428	1	Linda Lael Miller					
1429	1	Merriam-Webster					
1430	1	Lao Tzu					
1431	1	Atul Gawande					
1432	1	Elana Amsterdam					
1433	1	Roald Dahl					
1434	1	Dean Koontz					
1435	1	Terry Pratchett					
1436	1	Ptolemy Tompkins					
1437	1	Caroline Leaf Ph.D.					
1438	1	Bill Phillips					
1439	1	Wendy Burden					
1440	1	Thomas Sowell					
1441	1	Pete Van Wieren					
1442	1	Sarah Waters					
1443	1	Brian Michael Bendis					
1444	1	Kim Harrison					
1445	1	Lee Cockerell					
1446	1	Tracey Miller-Zarneke					
1447	1	SparkNotes Editors					
1448	1	Peter Hedges					
1450	1	Susannah Gora					
1451	1	Kate Banks					
1452	1	Robert Hass					
1453	1	Bill Watterson					
1454	1	~ Merriam-Webster					
1455	1	S. M. Plokhy					
1456	1	Matthew Parker					
1457	1	Ann Louise Gittleman					
1458	1	Alan Brinkley					
1459	1	Jennifer Brown					
1460	1	Laurell K. Hamilton					
1461	1	Karen Marie Moning					
1462	1	Karen Marie Moning					
1463	1	Rosetta Stone					
1465	1	Julie Andrews					
1466	1	Cynthia Rylant					
1467	1	Rick Steves					
1468	1	Susan Mallery					
1469	1	John Michael Greer					
1470	1	Brad Thor					
1471	1	Laura Schlessinger					
1472	1	Louise Penny					
1473	1	Mary Pope Osborne					
1474	1	Beverly Cleary					
1475	1	Elizabeth George Speare					
1476	1	Avi					
1478	1	David Mann					
1479	1	Joe Soucheray					
1480	1	Gaston Leroux					
1481	1	Jan Richardson					
1483	1	Bret Easton Ellis					
1484	1	E. D. Baker					
1486	1	Colleen McCullough					
1487	1	Michael Specter					
1488	1	Ralph Reed					
1489	1	Terry Brooks					
1490	1	Katherine Hall Page					
1492	1	Adam Hamilton					
1493	1	Ellen Levine					
1494	1	Melissa Febos					
1495	1	Miguel Ruiz					
1496	1	Mario Batali					
1497	1	Howard Zinn					
1498	1	Christopher Paolini					
1499	1	Tomie dePaola					
1500	1	Annie Cohen-Solal					
1502	1	M.i. Mcallister					
1503	1	Shirley MacLaine					
1505	1	Nancy Martin					
1506	1	Josie Bissett					
1507	1	Peter H. Wilson					
1509	1	Ingrid Law					
1510	1	Randy Susan Meyers					
1511	1	Editors of Vogue Knitting Magazine					
1513	1	Alan Jacobson					
1514	1	Michael Buckley					
1516	1	Kevin Leman					
1517	1	Mark Murphy					
1518	1	Sophie Dahl					
1520	1	H. G. Wells					
1521	1	Philip Kerr					
1523	1	Ed Bott					
1525	1	Trudy Harris RN					
1526	1	Jonathan Stroud					
1527	1	Karen Traviss					
1530	1	Nelson DeMille					
1531	1	Deborah T. Goldberg					
1532	1	Sid Fleischman					
1533	1	James Patterson					
1534	1	Cynthia Eden					
1535	1	Barbara Park					
1536	1	Paul Mason					
1537	1	Robert B. Parker					
1538	1	Karin Slaughter					
1539	1	Richard Holmes					
1540	1	Peter Weverka					
1541	1	Lois Lowry					
1542	1	Angie Sage					
1545	1	William Bridges					
1547	1	China Mieville					
1550	1	Napoleon Hill					
1552	1	National Geographic					
1553	1	Rick Warren					
1554	1	Robert Klara					
1555	1	Harry Beckwith					
1556	1	Jeri Smith-Ready					
1557	1	Giada De Laurentiis					
1558	1	Jenni Ferrari-Adler					
1559	1	Thomas Inc. Nelson					
1560	1	Staff of MAD					
1561	1	Kelly Kennedy					
1562	1	Alastair Reid					
1564	1	Annabel Karmel					
1565	1	William J. Bernstein					
1566	1	Andrew Clements					
1568	1	Duff McDonald					
1569	1	Scott Hahn					
1571	1	John C. Maxwell					
1572	1	Jonny Bowden					
1573	1	Gene Kranz					
1574	1	Ernie J. Zelinski					
1575	1	Jacqueline Winspear					
1576	1	MaryJanice Davidson					
1579	1	Douglas Adams					
1581	1	Peter M. Senge					
1582	1	Terry Goodkind					
1583	1	Stephen King					
1585	1	David Baldacci					
1586	1	John Sandford					
1587	1	Theresa Cheung					
1588	1	Zhi Gang Sha					
1589	1	Dan Gutman					
1590	1	Kimberly Willis Holt					
1592	1	Miguel de Cervantes Saavedra					
1593	1	Stephen R. Covey					
1594	1	Christine Feehan					
1597	1	Mary Roach					
1598	1	John Grisham					
1599	1	C. S. Lewis					
1601	1	Diane Duane					
1603	1	Jeannette Walls					
1604	1	Art Mawhinney					
1605	1	H. A. Rey					
1606	1	E. L. Doctorow					
1607	1	Beverly Lewis					
1608	1	Tom Peters					
1609	1	Mark Bechtel					
1613	1	Naomi Novik					
1614	1	Bathroom Readers					
1616	1	Charles B. Husick					
1617	1	Daniel Menaker					
1620	1	Lou Paget					
1622	1	Anna Quindlen					
1624	1	David Baldacci					
1625	1	Michael Palmer					
1626	1	Stephen R. Covey					
1627	1	Mike Lupica					
1628	1	Jessie Price					
1629	1	David Crystal					
1630	1	Barbara Lehman					
1631	1	Geoffrey Hayes					
1632	1	Andrew Clements					
1633	1	Alexander McCall Smith					
1635	1	Paul Ekman					
1636	1	Diane Chamberlain					
1637	1	Anne Rice					
1638	1	Daniel J. Levitin					
1639	1	Christian Lander					
1640	1	Stephen Hawking					
1641	1	Maggie Stiefvater					
1642	1	Linda Lael Miller					
1643	1	Lifetime Television					
1646	1	Janet Evanovich					
1647	1	Elizabeth Amber					
1648	1	Carol Ann Tomlinson					
1649	1	Laurence Yep					
1651	1	Susane Colasanti					
1652	1	Mark Kurlansky					
1654	1	David McCullough					
1655	1	Jillian Michaels					
1656	1	James Patterson					
1658	1	Samuel Cohen					
1659	1	Andrew Clements					
1660	1	Harriet Jacobs					
1662	1	Geneen Roth					
1663	1	Maureen McCormick					
1664	1	Robert J. Morgan					
1665	1	Langston Hughes					
1666	1	Rosalie Greenberg					
1667	1	Eoin Colfer					
1669	1	Fern Michaels					
1670	1	Nick Bruel					
1671	1	John Banville					
1672	1	Louise Rennison					
1673	1	Marc Brown					
1674	1	Christopher Moore					
1676	1	Mariah Stewart					
1677	1	Tedd Arnold					
1678	1	Darryl Strawberry					
1679	1	Cathy Meeus					
1680	1	Bill Bolton					
1681	1	Christopher Rice					
1682	1	Amy Stewart					
1683	1	Valerie Bertinelli					
1684	1	Maxwell Gillingham-Ryan					
1685	1	Robert Louis Stevenson					
1686	1	Howard Pyle					
1688	1	Nick Burd					
1689	1	Charlie Higson					
1690	1	Robert McCrum					
1691	1	Florence Parry Heide					
1692	1	Jan Thomas					
1693	1	Sara Gruen					
1694	1	Debbie Macomber					
1695	1	Michelle Huneven					
1696	1	Bon Jovi					
1698	1	Roger Priddy					
1699	1	Hermann Hesse					
1700	1	Andrew Clements					
1701	1	Lili St. Crow					
1703	1	Ilona Andrews					
1704	1	Erin Hunter					
1705	1	Beverly Cleary					
1707	1	Linda Lael Miller					
1708	1	Wendy Corsi Staub					
1709	1	Gerry Bartlett					
1710	1	Ann Howard Creel					
1712	1	The Pokemon The Pokemon Company Intl.					
1713	1	Mark Batterson					
1714	1	Steve Martini					
1715	1	Beverly Cleary					
1716	1	Sarah Dessen					
1717	1	Mary Pope Osborne					
1718	1	Mary Pope Osborne					
1719	1	Old Farmer's Almanac					
1720	1	Lora Leigh					
1721	1	L. M. Montgomery					
1722	1	Davi-Ellen Chabner					
1723	1	Neil Postman					
1724	1	Scott Westerfeld					
1725	1	D. J. MacHale					
1726	1	Jean Johnson					
1727	1	Amy Nebens					
1728	1	Gregory Maguire					
1729	1	Kelley Armstrong					
1730	1	Louisa May Alcott					
1731	1	Norman Vincent Peale					
1734	1	Mario Puzo					
1736	1	Nancy Poydar					
1737	1	Kelley Armstrong					
1738	1	David Rosenfelt					
1739	1	Eric Puchner					
1740	1	Maurice Sendak					
1741	1	Leo Damrosch					
1742	1	James Arthur Ray					
1743	1	Vendela Vida					
1744	1	Frank Warren					
1745	1	Anthony DeStefano					
1746	1	Jez Alborough					
1747	1	Laura Ingraham					
1748	1	Tamara Lowe					
1751	1	David Poyer					
1752	1	Diana Gabaldon					
1753	1	Shaun Tan					
1754	1	Mike Hotek					
1758	1	Karen Orloff					
1759	1	Max Lucado					
1760	1	Roger Priddy					
1761	1	Richard Scarry					
1762	1	Lee Child					
1763	1	Peggy Parish					
1764	1	Elizabeth Chandler					
1765	1	C. J. Box					
1766	1	Homer Hickam					
1767	1	Rita Lakin					
1768	1	John Sandford					
1769	1	Arbinger Institute					
1770	1	Neil Shubin					
1771	1	Brad Thor					
1772	1	Jean M. Auel					
1774	1	David Cameron Gikandi					
1775	1	Harriet Lerner					
1776	1	Keri Arthur					
1777	1	Orli Zuravicky					
1778	1	Toni Morrison					
1779	1	Mary Shelley					
1780	1	Mary Balogh					
1781	1	Marshall B. Rosenberg					
1782	1	Ted Dekker					
1783	1	Walt Whitman					
1784	1	Mike Lupica					
1785	1	William Faulkner					
1786	1	Charlaine Harris					
1788	1	Elin Hilderbrand					
1789	1	Keith Ferrazzi					
1790	1	Paul Gayler					
1793	1	Kim Wright					
1794	1	Todd J. McCaffrey					
1796	1	Beth Fantaskey					
1797	1	Kate DiCamillo					
1799	1	Justin Richards					
1800	1	Jackson Pearce					
1801	1	Maria Fleming					
1802	1	Francis S. Collins					
1804	1	Mem Fox					
1805	1	Kevin Henkes					
1806	1	Jos� Saramago					
1807	1	Doug Stanton					
1809	1	Victoria Alexander					
1810	1	Chris d'Lacey					
1811	1	Catherine Coulter					
1812	1	Brent Weeks					
1813	1	Ben Sherwood					
1814	1	MaryJanice Davidson					
1817	1	Kathryn Lasky					
1818	1	Roland Smith					
1819	1	Rachel Vincent					
1820	1	Robin Norwood					
1821	1	Mary Shelley					
1822	1	Glen Cook					
1823	1	Mary Kay Andrews					
1824	1	Charles Dickens					
1825	1	Aaron Allston					
1826	1	Lili St. Crow					
1827	1	Tony Attwood					
1828	1	Cinda Williams Chima					
1830	1	Flash Kids Editors					
1831	1	Kerrelyn Sparks					
1832	1	Hannah Howell					
1833	1	Robert T. Kiyosaki					
1834	1	Susan Mallery					
1835	1	Fred Gipson					
1836	1	Linda Lael Miller					
1837	1	Debbie Macomber					
1838	1	Miguel Syjuco					
1839	1	D.M. Giangreco					
1840	1	Jane Werner					
1841	1	John F. Ross					
1842	1	Martin Luther					
1843	1	Agent Provocateur					
1844	1	Mary McDonagh Murphy					
1846	1	J. R. R. Tolkien					
1847	1	Janet Evanovich					
1849	1	Mike Mearls					
1852	1	P. D. James					
1853	1	Spencer Johnson					
1855	1	Eric Hill					
1857	1	Gayden Metcalfe					
1858	1	Brandon Mull					
1859	1	Melissa Heckscher					
1860	1	Disney Storybook Artists					
1861	1	Peggy Parish					
1862	1	Nicola Deschamps					
1864	1	Tedd Arnold					
1865	1	L. E. Modesitt Jr.					
1866	1	Leonard Susskind					
1867	1	Erin Hunter					
1868	1	John Updike					
1869	1	Jennifer Crusie					
1872	1	David Pogue					
1874	1	Tom Stoppard					
1875	1	Cris Silvestri					
1876	1	Bill Watterson					
1877	1	Jill Shalvis					
1879	1	Jeff Smith					
1880	1	Jane Austen					
1881	1	L. J. Smith					
1882	1	Mary Pope Osborne					
1883	1	Luis J. Rodriguez					
1884	1	Gary Blackwood					
1886	1	Dan Gutman					
1887	1	Mary E. Pearson					
1888	1	Kaplan Publishing Staff					
1889	1	Kaplan					
1890	1	Nora Roberts					
1891	1	Victor Hugo					
1892	1	Emerson Eggerichs					
1893	1	Scott Kelby					
1894	1	Jeff Smith					
1895	1	Lee Child					
1896	1	C.S. Lewis					
1897	1	Elif Batuman					
1898	1	Tosca Reno					
1899	1	Mischa Berlinski					
1900	1	Rick Steves					
1901	1	Cate Tiernan					
1902	1	Sara Donati					
1903	1	Michael Kranish					
1904	1	Kevin Alan Milne					
1905	1	Kalee Thompson					
1907	1	Michael F. Holick					
1908	1	Brian A. Blum					
1909	1	Tatiana de Rosnay					
1910	1	Matthew Aaron Goodman					
1911	1	Peter Stevenson					
1912	1	Paul Harrington					
1913	1	Holly LeCraw					
1914	1	Christopher Rice					
1915	1	Nancy Farmer					
1916	1	Rachel Simmons					
1917	1	Tedd Arnold					
1918	1	Carolyn Keene					
1919	1	Chris Van Allsburg					
1920	1	Thomas Sowell					
1921	1	Lexie Barnes					
1922	1	Melvin Urofsky					
1926	1	Jayme Adelson-Goldstein					
1927	1	Joan M. Wolf					
1928	1	Jonathan Orsay					
1930	1	Dick Francis					
1931	1	Charlaine Harris					
1932	1	Kazuo Ishiguro					
1933	1	Dan Gutman					
1934	1	Lincoln Child					
1935	1	Stephen King					
1936	1	David Icke					
1938	1	Erin Hunter					
1939	1	Sigmund Freud					
1940	1	David Baldacci					
1941	1	Sheila Weller					
1942	1	Brendan Brazier					
1943	1	Marcela Valladolid					
1944	1	Violet Blue					
1945	1	Jeffery Deaver					
1946	1	Mark Zimmerman					
1947	1	John Avlon					
1948	1	Edith Hamilton					
1949	1	John Steinbeck					
1950	1	Gary Paulsen					
1951	1	Julie Garwood					
1952	1	Mariana Pasternak					
1954	1	Tedd Arnold					
1955	1	The Monks of New Skete					
1956	1	Robert I. Sutton					
1957	1	Nora Gaydos					
1958	1	Marshall Karp					
1960	1	Weight Watchers					
1961	1	Daniel Howarth					
1962	1	BJ Penn					
1963	1	Jeffrey Stepakoff					
1964	1	Jason F. Wright					
1966	1	Michael Morpurgo					
1968	1	Robert Rowland Smith					
1970	1	David Macaulay					
1972	1	Dan Brown					
1973	1	Christopher Paolini					
1974	1	Chris Stevens					
1976	1	Jack Kornfield					
1977	1	Dr. Seuss					
1978	1	Matthew Van Fleet					
1979	1	Alton Brown					
1980	1	Michael Linenberger					
1981	1	Microsoft Press					
1982	1	Betty Bethards					
1983	1	Michael Lewis					
1984	1	Byron Pitts					
1987	1	Allison Bottke					
1988	1	Julie Danneberg					
1989	1	Barbara Park					
1990	1	Graham McNeill					
1991	1	Cynthia Rylant					
1992	1	Tracy Anne Warren					
1993	1	Tessa Dare					
1994	1	Kimberly Willis Holt					
1995	1	Mary Pope Osborne					
1996	1	American Psychological Association					
1999	1	Nora Roberts					
