book	abebooks	author						
1286	1	Kevin Lynch						
1287	1	Prajit K. Dutta						
1288	1	Luise White						
1289	1	Paul G. Halpern						
1290	1	Andrea Moro						
1291	1	Carol L. Bernstein						
1292	1	Desai, Kiran						
1293	1	John Duffy						
1294	1	Martin Gilbert						
1296	1	Boyne, John						
1297	1	Glinsky, Albert						
1299	1	Gianni Vattimo						
1300	1	Jose Maria Carrascal						
1301	1	Stephen Selby						
1302	1	Marshall Sahlins						
1304	1	Teo Vera						
1305	1	Mercedes Crespo Villate						
1306	1	Linda Seidel						
1309	1	Javier Marias						
1310	1	Paloma Aguilar Fernandez						
1311	1	Buddhananda						
1312	1	Ian Gibson						
1313	1	Sima Qian						
1314	1	Michael Taussig						
1315	1	Alberto Cortez						
1316	1	Eugene A. Maio						
1317	1	Manuel Alvar						
1319	1	Joe R. Lansdale						
1320	1	Lawrence Block						
1321	1	Rem Koolhaas						
1326	1	Patricia Mowbray						
1328	1	David Ross						
1330	1	Clark, Larry						
1332	1	Larry Sultan						
1333	1	Niki De Phalle						
1335	1	Sherry A. Rogers						
1336	1	Desmond King-Hele						
1337	1	Ian Dear						
1338	1	Fred Pyrczak						
1339	1	Neal D. Barnard						
1340	1	Sabine Auken						
1341	1	Josef Pieper						
1342	1	Tove Jansson						
1343	1	Susan S. Weed						
1344	1	Marshall B. Rosenberg						
1345	1	Thich Nhat Hanh						
1346	1	Charles Dowding						
1347	1	Connie Shelton						
1348	1	Parks, Brian						
1349	1	William G. Tapply						
1350	1	Roger Klingenberg						
1351	1	Nevil Shute						
1352	1	Readman, Jo						
1353	1	G. Miki Hayden						
1354	1	Javier Marias						
1355	1	Breen, Bob						
1356	1	Raymond Carver						
1357	1	Ron Potter-Efron						
1358	1	Gentle, Mary						
1359	1	Doy						
1360	1	Kev Darling						
1361	1	Steven Pinker						
1362	1	Cave, Terence						
1363	1	Kathy Lynn Emerson						
1364	1	Victoria Schofield						
1365	1	Chris J. Isham						
1366	1	Steve Fallon						
1367	1	Murray, Chris						
1368	1	Ernesto Guevara						
1369	1	Iza Trapani						
1370	1	Nick Sullivan						
1371	1	Amin Maalouf						
1373	1	Valerie Solanas						
1374	1	Dan L. Morrill						
1375	1	Robert Bevan						
1376	1	Walter Benjamin						
1377	1	Steve Baker						
1378	1	Wild, J. Malcolm						
1379	1	Murakami, Haruki						
1380	1	Diane Haigh						
1381	1	Smith, Tom Rob						
1382	1	Newton Thornburg						
1383	1	Steve Keen						
1384	1	Giles Worsley						
1386	1	M.M. Botvinnik						
1387	1	King Laurence						
1388	1	Nigel Burkin						
1389	1	Bielenberg, Andy						
1390	1	Roy Wilkinson						
1393	1	Herman Melville						
1394	1	Rogers, Byron						
1395	1	Sue Wells						
1396	1	Studs Terkel						
1397	1	Lynne Perrella						
1398	1	Christopher Gravett						
1399	1	Michael Pollan						
1401	1	Linda Hamblen						
1402	1	Angus Konstam						
1403	1	Gary Snyder						
1404	1	Dekker, Ted						
1405	1	Elderkin, Susan						
1406	1	David Goldblatt						
1407	1	Kate Grenville						
1408	1	Patrick Robinson						
1409	1	Bathroom Readers' Institute						
1410	1	William Stolzenburg						
1411	1	Central Intelligence Agency						
1412	1	Tom McCarthy						
1414	1	Julia Cameron						
1415	1	Wendell Berry						
1417	1	Karen Moon						
1418	1	Susan Hunt						
1419	1	George Soros						
1420	1	Sandra Ingerman						
1421	1	Guy De Maupassant						
1422	1	Georg Kuhlewind						
1423	1	Robert Littell						
1424	1	Jim Stovall						
1425	1	Philipp Blom						
1427	1	Alexander Lavrentiev						
1428	1	Naguib Mahfouz						
1429	1	Jeffrey R. Holland						
1430	1	Michael Michalko						
1431	1	David Gregory						
1433	1	Marianne Williamson						
1435	1	George Barna						
1436	1	Nick Hornby						
1437	1	Jerry Bridges						
1438	1	Kermit Lynch						
1440	1	Clare Hubbard						
1442	1	Andre Aciman						
1443	1	Anne Lamott						
1444	1	Kennedy, John F.						
1446	1	Cecelia Holland						
1447	1	Not Available						
1448	1	Sarah Fritschner						
1449	1	Andy Stanley						
1450	1	Kingsbury, Karen						
1451	1	Jim Dawson						
1454	1	Bangert Albrecht						
1455	1	Zell Miller						
1456	1	Rafi Grafman						
1457	1	B. Traven						
1458	1	Janice Woods Windle						
1459	1	Michel Brun						
1460	1	Susan Breier						
1461	1	R. Emmett Murray						
1462	1	Lippard, Lucy R.						
1463	1	Magdalen Nabb						
1464	1	Jack Doyle						
1465	1	Farley Mowat						
1466	1	Upton Beall Sinclair						
1467	1	Sri Kriyananda						
1468	1	Christine Kinealy						
1469	1	Cheikh A. Diop						
1470	1	Nicols Fox						
1471	1	James Hamilton						
1472	1	Tim Street-Porter						
1473	1	Giles Blunt						
1475	1	Gitanjal Kolanad						
1476	1	Avery Brooke						
1478	1	Tahir Shah						
1480	1	Lefty Kreh						
1481	1	Peter D. Goldsmith						
1482	1	Thomas B. Buell						
1483	1	Barry Buzan						
1484	1	Mark Lane						
1485	1	Michael W. Litchfield						
1486	1	Sharon Rich						
1487	1	Cornelia Schrader-Muggenthaler						
1488	1	Peter Owen						
1489	1	Michael Williams						
1490	1	Barbara Brown Taylor						
1491	1	Ruth Klein						
1492	1	Giorgio De Chirico						
1493	1	John Ibbitson						
1494	1	Tana Dineen						
1496	1	Richard A. Lehne						
1498	1	Lesley Scorgie						
1499	1	SANDY GOW						
1500	1	David Roberts						
1501	1	Peter Manseau						
1502	1	Robyn St. Carr						
1503	1	Smith, Wilbur						
1504	1	William A. Alcott						
1506	1	Emilie Richards						
1507	1	Jim Rogers						
1510	1	Wray, John						
1512	1	Jack Mitchell						
1513	1	Denise Linn						
1515	1	Christopher Rice						
1516	1	Alexander McCall Smith						
1517	1	Tobias Wolff						
1518	1	Sylvia Browne						
1519	1	Michael Anderson						
1520	1	Susanka, Sarah						
1521	1	Tinky Weisblat						
1522	1	Gertrude Himmelfarb						
1524	1	Haven Kimmel						
1525	1	Alexander McCall Smith						
1526	1	George Johnson						
1527	1	Robert L. Leahy						
1528	1	Max Brooks						
1529	1	Thom Hartmann						
1530	1	Tanika Lynch						
1531	1	Dawn P. Williams						
1532	1	Myron J. Frankman						
1533	1	Richard A. Postman						
1534	1	Thompson, Walter						
1536	1	Christian Wilde						
1537	1	Samantha Hart						
1538	1	Joseph Gibey						
1539	1	William U. Eiland						
1540	1	Nancy Eos						
1541	1	Nicholas Bakewell						
1542	1	John Kellerman						
1543	1	Ruth Yaron						
1544	1	Doyle, Robert						
1545	1	Gary Renard						
1546	1	John D. Folse						
1547	1	Cerridwen Fallingstar						
1548	1	Massimo Scaligero						
1549	1	Warren M. Bodie						
1551	1	Cheri Huber						
1552	1	Richard Brodie						
1553	1	Taylor, Roger.D						
1554	1	Juanita Leisch						
1555	1	Queen, Carol						
1556	1	Fred Hoyle						
1557	1	David Blair Richardson						
1558	1	Watchman Nee						
1559	1	Georges Bataille						
1560	1	Hillel Schwartz						
1561	1	Bobbi A. McRae						
1562	1	David Atkins						
1564	1	David Atkins						
1566	1	John Collins						
1567	1	Danny S. Parker						
1568	1	Michael A. Markowski						
1569	1	Australian Women's Weekly Staff						
1571	1	Rick Mitchell						
1572	1	Marie-Louise Von Franz						
1573	1	Tom Neale						
1574	1	Jacques Lusseyran						
1575	1	Paavo Airola						
1576	1	Elly Sienkiewicz						
1577	1	R. Wilder Lane						
1578	1	Jack David						
1579	1	John P. Dourley						
1580	1	Peter Cumming						
1582	1	Maureen Sarsfield						
1583	1	Anthony T. Browder						
1584	1	Allen Wardwell						
1585	1	Mason						
1586	1	Milton Friedman						
1587	1	John Willie						
1588	1	Charles Hapgood						
1589	1	R. Bruce Hoadley						
1590	1	Jeannette Armstrong						
1591	1	Harvey Shore						
1592	1	Karl Keating						
1593	1	Joseph A. Pursch						
1594	1	Anne C. Emmerich						
1595	1	Alexander Schmemann						
1596	1	Edwin H. Friedman						
1597	1	Tom Wilson						
1598	1	Mark Levin						
1600	1	St. Bridget of Sweden						
1601	1	Agnes Sanford						
1602	1	Leo Damore						
1603	1	Frederick Leboyer						
1606	1	Millman, Dan						
1607	1	Tony Blankley						
1608	1	Jim Messerschmidt						
1610	1	Ruth Graham						
1611	1	Matthew Barney						
1612	1	Hugh Hood						
1613	1	Tremblay						
1615	1	Kent Johnson						
1616	1	Joseph F. Girzone						
1617	1	Andy Thomson						
1618	1	William Kurelek						
1619	1	Stephen A. Bly						
1620	1	Ross Thomas						
1621	1	Norman Wardhaugh Walker						
1622	1	Donald E. Westlake						
1623	1	Stephen R. Covey						
1624	1	Tom King						
1625	1	Myrna M. Milani						
1626	1	Charles Dickens						
1627	1	Jean-Marc Ela						
1629	1	Bernard E. Rollin						
1630	1	Louise Albert						
1632	1	Elmore Leonard						
1634	1	David A. Seamands						
1636	1	Alan Rabinowitz						
1637	1	Bernard C. Ruffin						
1638	1	Randy C. Alcorn						
1640	1	Bob St. John						
1642	1	Howard P. Wood						
1643	1	Victor-Antoine D'Avila-Latourrette						
1644	1	Don Miguel Ruiz						
1645	1	Mary Austin						
1646	1	Donald H. Berkebile						
1647	1	Hazel McMahon						
1648	1	Nick Engler						
1649	1	Bill Hall						
1650	1	Keith F. Davis						
1651	1	Daphne Reece						
1652	1	J. I. Packer						
1653	1	Paul F Boller						
1654	1	Robert Laguardia						
1655	1	Bruce McIver						
1656	1	Hugh Walker						
1658	1	John M. Frame						
1659	1	Robert Langs						
1660	1	John Stevens						
1661	1	J. Reid Meloy						
1662	1	Donald M. McKale						
1663	1	Clyde S. Kilby						
1664	1	Alexandra R. Haslam						
1666	1	Paola Coletta						
1667	1	Alfie Kohn						
1668	1	Bukowski, Charles						
1669	1	Petra Berger						
1670	1	Edward Pajak						
1671	1	Jerry Mander						
1672	1	James M. Johnson						
1673	1	Galen A. Rowell						
1675	1	Philip Van Rensselaer						
1676	1	Irwin A. Schiff						
1677	1	James Haskins						
1678	1	Lewis Hanke						
1679	1	Emma Bell Miles						
1680	1	Ernst Junger						
1681	1	Sherman Alexie						
1684	1	Jennifer Clement						
1685	1	Raymond Campbell Paterson						
1686	1	Malcolm MacLennan						
1687	1	John Howard Yoder						
1688	1	Ravi Zacharias						
1689	1	Max Lucado						
1690	1	Cecil A. Meadows						
1691	1	Barry Magid						
1692	1	Ronald Kotulak						
1693	1	Ludwig Tieck						
1694	1	Elizabeth Elliot						
1695	1	Kevin Leman						
1696	1	V. Gordon Childe						
1698	1	Mollie Panter-Downes						
1699	1	Frank Peretti						
1700	1	John MacArthur						
1701	1	Hugh Falkus						
1702	1	James C. Dobson						
1703	1	Grace Livingston Hill						
1704	1	Amanda Ashley						
1705	1	Allan Haley						
1706	1	Boria Sax						
1707	1	Norman Friedman						
1708	1	Charles W. Bergquist						
1709	1	Monroe, Lucy						
1710	1	Duane Elmer						
1711	1	Philip Nel						
1712	1	Paul Barolsky						
1713	1	Nelson						
1714	1	Henri Nouwen						
1715	1	Brett Harvey						
1716	1	Charles Reid						
1717	1	Mark Levitch						
1718	1	Barbara Wentroble						
1719	1	John Anthony West						
1720	1	Martin McDonagh						
1721	1	Teresa Bateman						
1722	1	Jacques Ranciere						
1723	1	John F. Collins						
1724	1	John Jacob Niles						
1725	1	Salvador Dali						
1726	1	Carolyn Murray-Wooley						
1727	1	William A. Jurgens						
1728	1	Susan McClary						
1729	1	Jon Meacham						
1730	1	Norman Lewis Corwin						
1731	1	Yousuf Karsh						
1732	1	Carlos M. Fernandez-Shaw						
1733	1	Jacques Pepin						
1734	1	Louis William Countryman						
1735	1	Arjun Appadurai						
1736	1	Angna Enters						
1737	1	Quaintance Eaton						
1738	1	Azar Nafisi						
1739	1	Elizabeth Berg						
1740	1	James Schofield Saeger						
1741	1	Ken Dryden						
1742	1	Peter S. Onuf						
1743	1	Paul Gruchow						
1744	1	Howard Blum						
1745	1	Assia Djebar						
1746	1	Donald E. Westlake						
1747	1	Angela Fisher						
1748	1	Timothy Zahn						
1749	1	Marco Bussagli						
1750	1	Victor H. Frankel						
1751	1	Glen Cook						
1752	1	Terry Goodkind						
1754	1	Kenneth W. Goddard						
1755	1	Joachim Poeschke						
1756	1	Tony Sweet						
1758	1	Teresa Layman						
1759	1	Jack Wasserman						
1760	1	Paul Williamson						
1761	1	W. Michael Gear						
1762	1	Simon Wells						
1763	1	Andrew M. Greeley						
1764	1	Uwe Timm						
1765	1	Gerald A. Bond						
1766	1	David Fontana						
1767	1	Sharan Newman						
1768	1	Daniel Allen Butler						
1769	1	Richard Matheson						
1770	1	Steve Gardiner						
1771	1	David A. Berona						
1772	1	David Burnley						
1774	1	Randolph B. Campbell						
1775	1	Marion W. Smith						
1776	1	Susanne Fischer-Rizzi						
1777	1	Harry W. Pfanz						
1778	1	Johan Huizinga						
1779	1	Eileen J. Garrett						
1780	1	Zachary Taylor						
1782	1	Lilith McLelland						
1783	1	Roger W. Cliffe						
1784	1	Sonia Delaunay						
1785	1	Esther Nelson						
1786	1	Time-Life Editors						
1787	1	Stephen K. Hayes						
1788	1	Franklin Lindsay						
1789	1	Jean-Luc Marion						
1790	1	Alafair Burke						
1791	1	David Weinberger						
1792	1	Peter Richmond						
1793	1	Sue Grafton						
1794	1	Sue Grafton						
1795	1	Amy Tan						
1796	1	Sue Grafton						
1797	1	Peter Guy Northouse						
1798	1	Jason Goodwin						
1799	1	Frank Waters						
1800	1	Steven Kellogg						
1801	1	Emmanuel Carrere						
1802	1	Louise Erdrich						
1803	1	Meda Chesney-Lind						
1804	1	Jay Parini						
1805	1	Nancy Werlin						
1806	1	Thomas Flanagan						
1807	1	Jen Bryant						
1808	1	Allen C. Guelzo						
1809	1	Alexander Ross						
1810	1	Ross King						
1811	1	Richard Flanagan						
1812	1	Arthur L. Johnson						
1813	1	Terry Copp						
1816	1	Robert Olen Butler						
1817	1	Manon Schooland						
1818	1	Johanna W.H. Van Wijk-Bos						
1819	1	Doris Van Stone						
1820	1	Leif Enger						
1821	1	Pierre J. Payer						
1822	1	Robert H. MacDonald						
1823	1	R.K. Gordon						
1826	1	Catherine Millet						
1827	1	Leonard Goppelt						
1828	1	Michael Edwards						
1830	1	Yuri Slezkine						
1832	1	R. C. Sproul						
1833	1	Claus Westermann						
1834	1	Norman L. Geisler						
1836	1	J-Urgen Moltmann						
1837	1	Peter Hamilton						
1838	1	Lise Manniche						
1839	1	Johanna-Ruth Dobschiner						
1840	1	Jacques Lacan						
1841	1	Gordon J. Wenham						
1842	1	Richard Garrigues						
1844	1	Carlo Ginzburg						
1845	1	Walter Brueggemann						
1846	1	N. T. Wright						
1847	1	William H. Jones						
1848	1	Nikolai Chernyshevsky						
1850	1	Nancy Lawrence						
1851	1	Harold Weisberg						
1852	1	Peg Osterman						
1853	1	Robert A. F. Thurman						
1854	1	Anne Michaels						
1855	1	Andrew H. Malcolm						
1856	1	Lynne Ewing						
1857	1	Kathleen Morgan						
1858	1	Andre J. Belanger						
1859	1	Ouellet, Fernand						
1860	1	Robert Scott						
1861	1	Gloria P. Craig						
1863	1	Robert Morgan						
1864	1	John MacArthur						
1865	1	Gordon MacDonald						
1866	1	Lewis Carroll						
1867	1	Joyce Cheney						
1870	1	Steven Erikson						
1871	1	Anne Applebaum						
1872	1	Mark Bittman						
1873	1	Bill Bryson						
1874	1	Bill Bryson						
1876	1	Neil Schachter						
1879	1	Tobias S. Buckell						
1880	1	Cook, Nick						
1881	1	Mark Bittman						
1882	1	Brian Stableford						
1883	1	Beverly Lewis						
1884	1	Alex Gray						
1885	1	Lahlali, Mustapha						
1886	1	Cole, Martina						
1887	1	Cordingly, David						
1888	1	Willett, Marcia						
1889	1	David Baldwin						
1890	1	Ekman, Paul						
1891	1	Rowling, J. K.						
1892	1	Rowling, J. K.						
1893	1	Jonathan Wilson						
1894	1	Coupland, Douglas						
1895	1	Charles, John						
1896	1	Maureen Lee						
1897	1	Marks, Howard						
1898	1	Patricia Schultz						
1899	1	Whale, John						
1900	1	Zeepvat, Charlotte						
1901	1	Julie McKewon						
1902	1	Steven Raichlen						
1903	1	Tey, Josephine						
1904	1	Mark Fisher						
1905	1	Ford, Richard						
1906	1	Monk Kidd, Sue						
1907	1	Teresa Ransom						
1908	1	Ninh, Bao						
1909	1	Weisman, Alan						
1911	1	La Plante, Lynda						
1912	1	Richard A. Clarke						
1913	1	Gaiman, Neil						
1914	1	Stephen E. Ambrose						
1915	1	Liz Carlyle						
1918	1	Miranda July						
1920	1	David Downing						
1921	1	Loren Coleman						
1922	1	Gulland, Sandra						
1923	1	Wolff, Tobias						
1924	1	Tutt, Keith						
1925	1	Jacq, Christian						
1926	1	Cicely Mary Barker						
1927	1	Andrew Schloss						
1928	1	Jimmy Carter						
1930	1	Martin E. P. Seligman						
1931	1	Profumo, David						
1932	1	Kristine Napier						
1933	1	Peter Walsh						
1934	1	Greg Anderson						
1935	1	Antony Wynn						
1936	1	Frank Hurley						
1937	1	Arthur C Guyton						
1938	1	Cicely Mary Barker						
1939	1	Jonathan Alter						
1940	1	Jeannette Walls						
1942	1	Cox, Michael						
1943	1	Coelho, Paulo						
1944	1	Jon Ronson						
1945	1	James Lee Burke						
1946	1	F. Robert Rodman						
1947	1	Jeff MacNelly						
1949	1	Toni Morrison						
1950	1	Howard Zinn						
1955	1	Bill Gottlieb						
1956	1	Bill Gottlieb						
1957	1	Wiesel, Elie						
1958	1	Stephanie Pearl-McPhee						
1959	1	Stephanie Pearl-McPhee						
1960	1	Ayn Rand						
1961	1	Ina Garten						
1962	1	Malcolm Gladwell						
1963	1	Malcolm Gladwell						
1964	1	Stephenie Meyer						
1965	1	Stephenie Meyer						
1968	1	Barack Obama						
1969	1	Elizabeth Gilbert						
1970	1	Elizabeth Gilbert						
1971	1	Lynne Truss						
1975	1	Tim Harford						
1976	1	Gladwell, Malcolm						
1977	1	William Ayers						
1978	1	James C. Collins						
1979	1	James C. Collins						
1980	1	Colin West						
1981	1	Michael Wood						
1982	1	Michael Wood						
1983	1	Philip Roth						
1984	1	David Willis McCullough						
1985	1	David Willis McCullough						
1986	1	Octavia E. Butler						
1987	1	Caroline Myss						
1988	1	Sue Bender						
1989	1	Rachel Naomi Remen						
1990	1	Connelly, Michael						
1991	1	Michael Connelly						
1992	1	Ron Mehl						
1993	1	John Grogan						
1994	1	John Grogan						
1997	1	Jodi Picoult						
1998	1	Jodi Picoult						
1999	1	John C. Hull						
