movie	yahoo	director			
1259	1	Wes Craven			
1261	1	Peter Georgi			
1262	1	Curtis Hanson			
1263	1	Wolfgang Petersen			
1264	1	Sidney Lumet			
1265	1	Michael Mayer			
1266	1	Elizabeth Allen (II)			
1267	1	Duncan Tucker			
1268	1	Charles Dance			
1269	1	Steve Boyum			
1271	1	Neil Jordan			
1273	1	Jeff Wadlow			
1274	1	Keenen Ivory Wayans			
1275	1	Scott Derrickson			
1276	1	Mike Slee			
1277	1	Fernando Meirelles			
1278	1	Tommy Lee Jones			
1279	1	Johnnie To			
1280	1	Andrew Niccol			
1281	1	Keren Yedaya			
1282	1	Kelly Duane			
1283	1	Guy Ritchie			
1284	1	Mark Waters			
1285	1	Raymond De Felitta			
1286	1	Daniel Robichaud			
1287	1	Ryan Murphy			
1288	1	Steve Oedekerk			
1291	1	Michael Caton-Jones			
1292	1	Neil Marshall			
1295	1	Spike Lee			
1296	1	Roger Kumble			
1297	1	Donald Petrie			
1298	1	Julian Jarrold			
1299	1	Sergio Machado			
1300	1	Stephen Frears			
1301	1	Laurent Firode			
1302	1	Julian Fellowes			
1304	1	James Gunn			
1306	1	Nick Cassavetes			
1307	1	David Mickey Evans			
1308	1	Carlos Reygadas			
1309	1	Peter Davis			
1310	1	Bob Dolman			
1311	1	Andy Garcia			
1312	1	Gaby Dellal			
1313	1	Christophe Gans			
1314	1	Liz Friedlander			
1315	1	Jonathan Liebesman			
1317	1	Sanaa Hamri			
1318	1	Kevin Munroe			
1319	1	Sofia Coppola			
1320	1	Terry Gilliam			
1321	1	Joseph Castelo			
1322	1	Kate Montgomery			
1324	1	Adam Rapp (II)			
1325	1	Tom Shadyac			
1326	1	Howard Hall			
1327	1	Alejandro Agresti			
1328	1	Todd Haynes			
1329	1	Aaron Seltzer			
1330	1	Kiyoshi Kurosawa			
1331	1	David Slade			
1332	1	Raj Khosla			
1333	1	Kevin Smith			
1334	1	Emile Ardolino			
1337	1	Chuck Russell			
1339	1	Mark Fergus			
1340	1	Wayne Beach			
1341	1	Paul McGuigan			
1342	1	Henry Jaglom			
1343	1	Arthur Penn			
1345	1	Lee Daniels			
1346	1	Robert Moresco			
1347	1	Jeff Garlin			
1348	1	Armand Mastroianni			
1349	1	Danny Leiner			
1350	1	Greg Pritikin			
1351	1	Arthur Allan Seidelman			
1352	1	Mark Rydell			
1353	1	Mike Mendez			
1354	1	Joe Knight			
1356	1	James Keach			
1357	1	Tennyson Bardwell			
1358	1	Billy Kent			
1359	1	Laurie Collyer			
1360	1	Bart Freundlich			
1361	1	Hans Canosa			
1362	1	John Sayles			
1363	1	Simon Brand			
1364	1	Alex Steyermark			
1365	1	Tony Lover			
1366	1	Andrew Bujalski			
1367	1	Ryan Fleck			
1368	1	Saverio Costanzo			
1369	1	Patrice Chéreau (II)			
1370	1	Bryan Barber			
1371	1	Richard Loncraine			
1372	1	Paul Weitz			
1373	1	Steven Soderbergh			
1374	1	Lajos Koltai			
1375	1	Michael Winterbottom			
1376	1	Gavin Hood			
1377	1	Steve Rash			
1378	1	Simon West			
1379	1	James Kerwin			
1380	1	Chen Kaige			
1381	1	Robert Towne			
1384	1	Andy Fickman			
1385	1	Sue Kramer			
1387	1	Lukas Moodysson			
1388	1	Robert Altman			
1389	1	James Wan			
1390	1	Tom Tykwer			
1391	1	Chris Robinson (IV)			
1392	1	Matt Tauber			
1393	1	Ericson Core			
1394	1	Lasse Hallström			
1395	1	Milos Forman			
1396	1	Marcus Nispel			
1397	1	Douglas MacKinnon			
1398	1	David Frankel			
1399	1	Vondie Curtis Hall			
1400	1	Richard Kelly			
1401	1	Julie Taymor			
1402	1	Phillip Noyce			
1403	1	Tim Hill			
1404	1	Todd Holland			
1405	1	Craig Brewer			
1406	1	George Gallo			
1407	1	Claudia Myers			
1408	1	Hunter Richards			
1409	1	Bill Condon			
1410	1	Isabel Coixet			
1411	1	John Hillcoat			
1412	1	Michael Sturminger			
1413	1	Christopher Guest			
1414	1	Steven Soderbergh			
1415	1	Christopher Quinn (III)			
1416	1	Svetozar Ristovski			
1417	1	Ronny Yu			
1418	1	David Jacobson			
1419	1	Shawn Levy			
1420	1	Jeff Tremaine			
1421	1	Charles Randolph-Wright			
1422	1	McG			
1423	1	Kevin Noland			
1425	1	Paul Greengrass			
1426	1	Nancy Meyers			
1427	1	Victor Salva			
1428	1	Richard E. Grant			
1429	1	Hsiao-hsien Hou			
1431	1	Xeth Feinberg			
1432	1	Anne Fletcher			
1434	1	Sylvain White			
1435	1	Pierre Morel			
1436	1	Sandy Tung			
1437	1	Dominik Moll			
1439	1	James Foley			
1441	1	Todd Kessler (II)			
1442	1	Joel Schumacher			
1443	1	Joe Carnahan			
1444	1	Donatella Baglivo			
1445	1	Robert Ellis Miller			
1446	1	Jean-Luc Godard			
1448	1	Rudolph Caringi			
1451	1	Finbar Harvey			
1452	1	Frederick Wiseman			
1453	1	Susanne Bier			
1454	1	Pierre Bagley			
1455	1	Robert Bella			
1456	1	Ethan Hawke			
1458	1	Luc Besson			
1459	1	David S. Goyer			
1460	1	Javier Fesser			
1461	1	Roland Joffe			
1462	1	Werner Herzog			
1463	1	Bruce Beresford			
1464	1	Marco Kreuzpaintner			
1465	1	Mennan Yapo			
1466	1	Leon Ichaso			
1467	1	Hans Fabian Wullenweber			
1468	1	Michael Caton-Jones			
1469	1	Guillermo del Toro			
1470	1	Timur Bekmambetov			
1471	1	Roberto Benigni			
1472	1	Mike Clattenburg			
1473	1	Adrienne Shelly			
1474	1	Jia Zhang-ke			
1475	1	Fred Wolf			
1476	1	Richard Linklater			
1477	1	Emanuele Crialese			
1478	1	Udayan Prasad			
1479	1	Jeff Blitz			
1480	1	Gregory Jacobs			
1481	1	Francis Veber			
1482	1	Noah Baumbach			
1483	1	Brian Robbins			
1485	1	Michael Katleman			
1486	1	Kevin Lima			
1487	1	Melody Gilbert			
1488	1	Denis Dercourt			
1489	1	Larry Charles			
1490	1	Jeremy Podeswa			
1491	1	Gil Cates Jr			
1492	1	James C. Strouse			
1494	1	Rachid Bouchareb			
1495	1	Scott Glosserman			
1496	1	Alastair Fothergill			
1497	1	Russell Mulcahy			
1499	1	Catherine Breillat			
1500	1	Henry Jaglom			
1501	1	Marcos Carnevale			
1502	1	Ben Affleck			
1503	1	Kirk De Micco			
1504	1	Judd Apatow			
1505	1	Catherine Hardwicke			
1506	1	Daniel Waters			
1507	1	Shane Acker			
1508	1	Chris Smith (VI)			
1509	1	Jon Poll			
1510	1	Tyler Perry			
1512	1	Eric Brevig			
1513	1	Laurent Tirard			
1514	1	Mike White			
1515	1	Joe Wright			
1516	1	Tim Hamilton			
1517	1	Jason Todd Ipson			
1518	1	Richard Wong (III)			
1519	1	Chen Shi-Zheng			
1520	1	Anand Tucker			
1521	1	Rod Lurie			
1522	1	Ira Sachs			
1523	1	Simon Hunter			
1524	1	Steve Conrad			
1525	1	Sean McGinly			
1526	1	Johnnie To			
1527	1	Greg MacGillivray			
1528	1	Karim Ainouz			
1530	1	Rajkumar Hirani			
1531	1	Paul Sullivan (II)			
1532	1	Todd Breau			
1533	1	Robby Henson			
1534	1	Justin Lin			
1535	1	Robert Benton			
1536	1	Franck Khalfoun			
1537	1	Lajos Koltai			
1538	1	Andy Fickman			
1540	1	Shamim Sarif			
1541	1	Anthony Byrne (II)			
1542	1	Adam Brooks			
1543	1	Tom McCarthy			
1544	1	Jonathan King (III)			
1545	1	Ang Lee			
1548	1	William Maher			
1549	1	David Schwimmer			
1550	1	Steve Stockman			
1551	1	David Yates			
1552	1	Griffin Dunne			
1553	1	Robin Swicord			
1554	1	Stuart Gordon			
1557	1	Peter Chan			
1558	1	Peter Tolan			
1559	1	George Clooney			
1560	1	Joe Nussbaum			
1561	1	Wes Anderson			
1562	1	Kenneth Branagh			
1563	1	Michael O. Sajbel			
1564	1	Rodrigo Garcia			
1566	1	Tom Putnam (II)			
1569	1	Sam Garbarski			
1570	1	Morgan Spurlock			
1571	1	Vince Di Meglio			
1572	1	Bob Ray			
1573	1	Jake Kasdan			
1574	1	Brad Anderson			
1575	1	Neil Marshall			
1576	1	Rob Schmidt			
1578	1	Alex Gibney			
1579	1	Ted Braun			
1580	1	Jim Brown (VIII)			
1581	1	Xavier Gens			
1582	1	Buddy Giovinazzo			
1584	1	Tyler Perry			
1585	1	Amy Redford			
1586	1	Aristomenis Tsirbas (II)			
1587	1	Tim Hill			
1588	1	Jeff Celentano			
1590	1	Cristina Khuly			
1591	1	Brian De Palma			
1592	1	Darren Lynn Bousman			
1593	1	Richard Harrah			
1594	1	Nicholas Stoller			
1595	1	Olivier Assayas			
1596	1	Eric Byler			
1597	1	Jennifer Lynch			
1598	1	Isabel Coixet			
1599	1	John Erick Dowdle			
1600	1	David Volach			
1601	1	Hou Hsiao-Hsien			
1602	1	Nicolas Klotz			
1603	1	Tony Stone			
1604	1	Alex Holdridge			
1606	1	Anne Fletcher			
1608	1	George Wolfe			
1609	1	Shaad Ali Sahgal			
1610	1	Claude Lelouch			
1611	1	Charles Robert Carner (II)			
1612	1	Dave Christiano			
1613	1	Ryuhei Kitamura			
1614	1	Bharat Nalluri			
1615	1	Alexandre Aja			
1616	1	Lee Isaac Chung			
1617	1	Paul Weiland			
1618	1	Baillie Walsh			
1619	1	Max Farberbock			
1620	1	Sam Mendes			
1621	1	Julian Jarrold			
1622	1	Sanaa Hamri			
1623	1	Kim Jee-Woon			
1625	1	Issa Lopez			
1626	1	Jean-Francois Richet			
1629	1	Robert Celestino			
1630	1	Daniel Barnz			
1631	1	Robert Iscove			
1632	1	Andrei Konchalovsky			
1633	1	Tyler Perry			
1634	1	Stewart Wade			
1636	1	Kathryn Bigelow			
1637	1	Joshua Michael Stern			
1639	1	Phil Traill			
1640	1	Randall M. Miller			
1642	1	Larry Charles			
1643	1	Carlos Cuaron			
1644	1	Howard Deutch			
1645	1	Mark Pellington			
1646	1	Tom Vaughan			
1647	1	Shamim Sarif			
1648	1	Adam McKay			
1649	1	Peter Cornwell			
1650	1	Boaz Yakin			
1651	1	Bobby Roth			
1652	1	Paul W.S. Anderson			
1653	1	Hoyt Yeatman			
1654	1	Mark Hartley			
1655	1	Steve Rash			
1657	1	John Stronach			
1658	1	Stephen Belber			
1659	1	R. W. Goodwin			
1661	1	Bradley Raymond			
1664	1	Peyton Reed			
1665	1	Thor Freudenthal			
1666	1	Michael Meredith			
1667	1	Lee Daniels			
1668	1	Kevin Smith			
1669	1	Alex Rivera			
1670	1	Paul Schneider			
1671	1	Dave Bullock			
1672	1	Jonathan Parker			
1674	1	Alex Gibney			
1676	1	James Gray			
1677	1	Neil Young			
1678	1	James Marsh			
1679	1	Karyn Kusama			
1680	1	Ari Gold			
1682	1	P.J. Hogan			
1683	1	Matteo Garrone			
1685	1	Jonas Elmer			
1686	1	Edward Zwick			
1687	1	Cheryl Hines			
1688	1	John Crowley			
1689	1	Vadim Perelman			
1690	1	Marc Fienberg			
1691	1	Joe Wright			
1694	1	Lucrecia Martel			
1695	1	Ole Christian Madsen			
1696	1	Doris Dorrie			
1697	1	Ari Folman			
1698	1	Dave Filoni			
1699	1	Mark Webber			
1700	1	John Schultz			
1701	1	Madonna			
1702	1	Michael Salomon			
1706	1	Richard Curtis			
1707	1	Simon Staho			
1708	1	Olivier Assayas			
1709	1	Pablo Trapero			
1710	1	Tony Scott			
1711	1	Victor Nunez			
1714	1	Mike Mitchell			
1715	1	Peter Bratt			
1716	1	Lone Scherfig			
1718	1	Alejandro Amenabar			
1719	1	Olivier Megaton			
1720	1	George Tillman Jr			
1721	1	Ralph Ziman			
1722	1	Gabriel Medina			
1723	1	Jim Field Smith			
1729	1	Charlie Hamilton-James			
1730	1	Marcus Nispel			
1731	1	Wes Craven			
1732	1	Michael Hoffman			
1734	1	Andrew Jarecki			
1735	1	Sam Mendes			
1737	1	Peter Rodger			
1738	1	Jonathan Mostow			
1739	1	Matt Aselton			
1740	1	Kiyoshi Kurosawa			
1741	1	Armando Iannucci			
1742	1	Steve McQueen (II)			
1743	1	Mikael Hafstrom			
1747	1	Joss Whedon			
1748	1	Radu Muntean			
1749	1	Sylvain Chomet			
1750	1	Wes Anderson			
1751	1	Nicole Holofcener			
1753	1	Raja Gosnell			
1754	1	Claude Miller			
1755	1	Alex Proyas			
1756	1	David S. Goyer			
1757	1	Steven Soderbergh			
1759	1	Michael Lander			
1760	1	Drew Barrymore			
1761	1	John Hillcoat			
1762	1	Franklin Martin			
1763	1	Jake Goldberger			
1764	1	Mira Nair			
1765	1	Kari Skogland			
1766	1	Ang Lee			
1767	1	Werner Herzog			
1768	1	Elizabeth Chai Vasarhelyi			
1770	1	Vicente Amorim			
1771	1	Nik Fackler			
1772	1	Martin Campbell			
1773	1	Elizabeth Allen (II)			
1774	1	Judd Apatow			
1775	1	Matt Newton			
1776	1	Gus Van Sant			
1778	1	Tom Tykwer			
1780	1	Robert Kenner (II)			
1782	1	Kristopher Belman			
1783	1	Bruce Hendricks			
1784	1	Mike Roth			
1785	1	Jonathan Lynn			
1786	1	Luis Mandoki			
1787	1	Kate Churchill			
1788	1	Todd Phillips			
1789	1	Neil Jordan			
1791	1	George A. Romero			
1792	1	Morgan Dews			
1793	1	Jean-Pierre Jeunet			
1795	1	Rachid Bouchareb			
1797	1	Stewart Hendler			
1798	1	Geoffrey Sax			
1799	1	Oliver Hirschbiegel			
1800	1	Anand Tucker			
1801	1	Ruba Nadda			
1802	1	Subhash Ghai			
1803	1	Dito Montiel			
1804	1	Tony Gilroy			
1805	1	Jean-Claude Brisseau			
1808	1	Dominic Sena			
1809	1	Anand Tucker			
1810	1	Tom Ford			
1811	1	Jeff Stilson			
1812	1	R.J. Cutler			
1813	1	Tom DiCillo			
1815	1	Sterlin Harjo			
1816	1	Noah Buschel			
1818	1	Greg Marcks			
1819	1	Max Mayer			
1820	1	Scott Hicks			
1821	1	Paul Crowder			
1823	1	Nancy Kissam			
1825	1	Gotz Spielmann			
1827	1	Claude Chabrol			
1828	1	Florian Gallenberger			
1830	1	Aaron Schneider			
1832	1	Franny Armstrong			
1833	1	Daryl Wein			
1834	1	Jeffrey Reiner			
1836	1	Tom Hooper			
1837	1	Joe Swanberg			
1838	1	Edgar Wright			
1839	1	Roger Spottiswoode			
1840	1	Tony Goldwyn			
1842	1	Michael Paul Stephenson			
1843	1	Sebastian Gutierrez			
1845	1	Daniel Alfredson			
1846	1	Tyler Perry			
1847	1	Jack Perez			
1849	1	Jon Turteltaub			
1850	1	Andre Techine			
1852	1	Sam Taylor-Wood			
1853	1	Daniel Barber			
1854	1	Beadie Finzi			
1856	1	Paola Mendoza			
1857	1	Allen Blumberg			
1858	1	Noah Baumbach			
1859	1	Tyler Perry			
1860	1	Nicole Opper			
1861	1	David MacKenzie			
1862	1	Jonathan Glatzer			
1863	1	Simon Wells			
1864	1	Marc Lawrence (IV)			
1865	1	Conor McPherson			
1866	1	Michael Grecco			
1868	1	Melora Hardin			
1869	1	Michel Franco			
1870	1	Roger Kumble			
1871	1	John Curran			
1872	1	Bobby Sheehan			
1874	1	Paul Devlin			
1875	1	Roger Michell			
1876	1	Marcus Dunstan			
1879	1	Daniel Barnz			
1881	1	Rick Famuyiwa			
1882	1	Josh Appignanesi (II)			
1884	1	Woody Allen			
1885	1	Sylvain White			
1886	1	C.W. Winter			
1888	1	Chris Smith (VI)			
1889	1	Mark David			
1890	1	Sebastian Silva			
1892	1	Simon Rumley			
1893	1	Julie Anne Robinson			
1894	1	Jeremy Davidson			
1895	1	Vishal Bharadwaj			
1896	1	Jorma Taccone			
1897	1	Rob Reiner			
1898	1	Richard J. Lewis			
1899	1	Mike Leigh			
1902	1	Andy Fickman			
1903	1	Nigel Cole			
1905	1	Don Hahn			
1906	1	Bob Richman			
1907	1	James Mangold			
1909	1	Edward Zwick			
1910	1	Todd Phillips			
1911	1	Stéphane Brizé			
1912	1	Agnieszka Vosloo			
1913	1	Atom Egoyan			
1914	1	Brad Anderson			
1915	1	Jaume Collet-Serra			
1916	1	Danny Boyle			
1917	1	Greg Berlanti			
1918	1	Thomas Balmès			
1919	1	Joshua Goldin			
1920	1	David Fincher			
1922	1	Jeff Tremaine			
1923	1	Shimit Amin			
1924	1	Peter Hanson			
1925	1	Mohamed Al-Daradji			
1926	1	Anusha Rizvi			
1930	1	Davis Guggenheim			
1931	1	Stephane Laporte			
1932	1	Yael Hersonski			
1934	1	Linas Phillips			
1935	1	Katie Aselton			
1936	1	Eyad Zahra			
1937	1	Daniel Grou			
1938	1	Johan Grimonprez			
1939	1	Rajkumar Hirani			
1940	1	Jerzy Skolimowski			
1941	1	Jay Roach			
1942	1	Marco Bellocchio			
1944	1	Nash Edgerton			
1945	1	Amanda Pope			
1946	1	Banksy			
1947	1	Kiff Scholl			
1948	1	Lena Dunham			
1949	1	Jeff Malmberg			
1950	1	Roel Reine (II)			
1951	1	Shaahin Cheyene			
1952	1	Jeff Deutchman			
1954	1	Alex Gibney			
1955	1	Patrick Hoelck			
1957	1	Doug Block			
1958	1	Anton Corbijn			
1960	1	Cary Fukunaga			
1961	1	Thomas Napper			
1962	1	Madeleine Sackler			
1963	1	Galt Niederhoffer			
1964	1	Radu Mihaileanu			
1965	1	Martin Campbell			
1966	1	Guillermo del Toro			
1967	1	Daniel Alfredson			
1968	1	Francois Ozon			
1969	1	Ray Griggs			
1970	1	Ron Howard			
1972	1	Sanjay Leela Bhansali			
1974	1	Jodie Foster			
1975	1	Ham Tran			
1976	1	Steven Sawalich			
1977	1	Jody Hill			
1979	1	Luc Besson			
1980	1	Henry S. Miller (II)			
1981	1	Patrice Leconte			
1982	1	Salvatore Stabile			
1983	1	Jafar Panahi			
1984	1	Lars von Trier			
1985	1	Jiri Menzel			
1986	1	Daniele Thompson			
1987	1	Allan Moyle			
1988	1	Adam Rifkin			
1989	1	Steven Goldmann			
1990	1	Francesco Lucente			
1991	1	Barry Levinson			
1992	1	Andrey Kravchuk			
1993	1	Robert Cary			
1994	1	Philip G. Atwell			
1995	1	Ben Stassen			
1996	1	Roger Michell			
1997	1	Jasmila Zbanic			
0134	0	<NULL>			
0149	0	<NULL>			
0214	0	<NULL>			
0292	0	<NULL>			
0392	0	<NULL>			
0396	0	<NULL>			
0533	0	<NULL>			
0559	0	<NULL>			
0610	0	<NULL>			
0659	0	<NULL>			
0669	0	<NULL>			
0719	0	<NULL>			
0770	0	<NULL>			
0934	0	<NULL>			
1022	0	<NULL>			
1093	0	<NULL>			
1109	0	<NULL>			
1126	0	<NULL>			
1130	0	<NULL>			
1157	0	<NULL>			
1179	0	<NULL>			
1289	0	<NULL>			
1335	0	<NULL>			
1383	0	<NULL>			
1424	0	<NULL>			
1433	0	<NULL>			
1438	0	<NULL>			
1457	0	<NULL>			
1547	0	<NULL>			
1565	0	<NULL>			
1567	0	<NULL>			
1568	0	<NULL>			
1624	0	<NULL>			
1627	0	<NULL>			
1628	0	<NULL>			
1635	0	<NULL>			
1638	0	<NULL>			
1656	0	<NULL>			
1662	0	<NULL>			
1663	0	<NULL>			
1681	0	<NULL>			
1684	0	<NULL>			
1692	0	<NULL>			
1693	0	<NULL>			
1704	0	<NULL>			
1705	0	<NULL>			
1712	0	<NULL>			
1713	0	<NULL>			
1724	0	<NULL>			
1725	0	<NULL>			
1736	0	<NULL>			
1744	0	<NULL>			
1745	0	<NULL>			
1752	0	<NULL>			
1758	0	<NULL>			
1769	0	<NULL>			
1779	0	<NULL>			
1781	0	<NULL>			
1790	0	<NULL>			
1794	0	<NULL>			
1796	0	<NULL>			
1806	0	<NULL>			
1817	0	<NULL>			
1824	0	<NULL>			
1829	0	<NULL>			
1831	0	<NULL>			
1835	0	<NULL>			
1841	0	<NULL>			
1844	0	<NULL>			
1848	0	<NULL>			
1851	0	<NULL>			
1855	0	<NULL>			
1867	0	<NULL>			
1873	0	<NULL>			
1877	0	<NULL>			
1878	0	<NULL>			
1880	0	<NULL>			
1887	0	<NULL>			
1891	0	<NULL>			
1904	0	<NULL>			
1908	0	<NULL>			
1921	0	<NULL>			
1928	0	<NULL>			
1943	0	<NULL>			
1953	0	<NULL>			
1959	0	<NULL>			
1971	0	<NULL>			
1973	0	<NULL>			
