movie	rottentomatoes	director		
1501	1	Larry Cohen		
1502	1	Richard Trank		
1503	1	Simon Welsford		
1504	1	Patrik-Ian Polk		
1505	1	Tom Shadyac		
1506	1	Andrew Niccol		
1507	1	Mary Lambert		
1508	1	Alain Berliner		
1509	1	Danny Cannon		
1510	1	Patricia Rozema		
1511	1	David Lean		
1512	1	Sol Tryon		
1513	1	Boaz Yakin		
1514	1	John Badham		
1515	1	Jan Kounen		
1516	1	Wim Wenders		
1517	1	Kevin Asch		
1518	1	Tommy O'Haver		
1519	1	Amos Kollek		
1520	1	Jean Renoir		
1521	1	Terrence Malick		
1522	1	Walter Hill		
1523	1	McG		
1524	1	Stavros Kazantzidis		
1525	1	Laurie Lynd		
1526	1	John Woo		
1527	1	Robert Wise		
1528	1	Ulrich Seidl		
1529	1	Jeremy Brock		
1530	1	Robert Duvall		
1531	1	David Ayer		
1532	1	James Mangold		
1533	1	Kar Wai Wong		
1534	1	David Schwimmer		
1535	1	Adrian Lyne		
1536	1	Len Wiseman		
1537	1	Frank Miller (II)		
1538	1	Don Taylor		
1539	1	Damon Dash		
1540	1	Matt Dillon		
1541	1	Carter Smith		
1542	1	John Hough		
1543	1	Bryan Gordon		
1545	1	John Pasquin		
1546	1	Bryan Spicer		
1548	1	Louis J. Gasnier		
1549	1	Debbie Isitt		
1550	1	Marc Price		
1552	1	Steve Barron		
1554	1	Alejandro Amen�bar		
1555	1	Peter Hedges		
1556	1	Christopher Nolan		
1557	1	Tony Goldwyn		
1558	1	Harold Ramis		
1559	1	Charles Ferguson		
1560	1	Brad Bird		
1561	1	Bernardo Bertolucci		
1562	1	Aaron Woodley		
1563	1	Bronwen Hughes		
1564	1	Andrew Fleming		
1566	1	Catherine Breillat		
1567	1	Peter Segal		
1568	1	John Landis		
1570	1	Carlos Reygadas		
1571	1	Nikhil Advani		
1573	1	Richard Kelly		
1574	1	Scott Derrickson		
1575	1	John Landis		
1576	1	Elia Kazan		
1577	1	David Frankel		
1578	1	J. Lee Thompson		
1580	1	David Cronenberg		
1581	1	Dusan Makavejev		
1582	1	Jacques Audiard		
1583	1	Andrew Jarecki		
1584	1	Scott Kalvert		
1585	1	Rodger Grossman		
1586	1	Austin Chick		
1587	1	Raymond De Felitta		
1588	1	George Tillman Jr.		
1589	1	Harmony Korine		
1590	1	Yann Samuell		
1591	1	Kasi Lemmons		
1592	1	John Robert Hoffman		
1593	1	Jon Kasdan		
1594	1	Michael Lembeck		
1595	1	Peter Medak		
1597	1	Jim Sheridan		
1598	1	Bille August		
1599	1	Betsy Blankenbaker		
1600	1	Jordan Galland		
1601	1	Gurinder Chadha		
1602	1	Fred Schepisi		
1603	1	Robert Altman		
1604	1	Sydney Pollack		
1606	1	Director Ridley Scott		
1607	1	Clint Eastwood		
1608	1	Paul Mazursky		
1609	1	Antonia Bird		
1610	1	William Lustig		
1611	1	Sherry Horman		
1613	1	Beeban Kidron		
1614	1	Richard Berry		
1615	1	Michael Mann		
1616	1	Oliver Parker		
1617	1	Nick Moore		
1618	1	Sngmoo Lee		
1619	1	Gary Nelson		
1620	1	Katt Shea		
1625	1	Jos� Luis Cuerda		
1626	1	Andy Fickman		
1627	1	Karyn Kusama		
1628	1	Chris Weitz		
1629	1	M. Night Shyamalan		
1630	1	Susan Seidelman		
1631	1	William Dear		
1632	1	Adam Rifkin		
1633	1	P.J. Posner		
1634	1	Volker Schl�ndorff		
1635	1	Kayvan Mashayekh		
1636	1	M. Night Shyamalan		
1637	1	Rodolphe Marconi		
1638	1	Clive Donner		
1639	1	Peter Hewitt		
1640	1	Richard Fleischer		
1641	1	Michel Ocelot		
1643	1	Roger Corman		
1644	1	Amy Heckerling		
1645	1	Justin Theroux		
1646	1	Dennis Dugan		
1647	1	Howard Deutch		
1648	1	Peter Cattaneo		
1649	1	Robert Aldrich		
1650	1	Michael Bay		
1651	1	Jianqi Huo		
1652	1	Yaron Zilberman		
1653	1	Steven Soderbergh		
1654	1	Billy Wilder		
1656	1	Samuel Fuller		
1657	1	Orson Welles		
1658	1	Jay Chandrasekhar		
1659	1	Fred Wolf		
1660	1	Jonathan Glazer		
1661	1	Pablo Trapero		
1662	1	John Huston		
1663	1	Mark Cowen		
1664	1	Rolf de Heer		
1665	1	Roy Andersson		
1666	1	Barry Strugatz		
1667	1	Piotr Uklanski		
1668	1	Chris D'Arienzo		
1669	1	Harry Beaumont		
1670	1	Eric Weber		
1671	1	Manuel Pradal		
1672	1	Matthew Bright		
1673	1	Martin Ritt		
1674	1	Robert Mandel		
1675	1	Kerry Asmussen		
1676	1	J. Lee Thompson		
1678	1	Jack Clayton		
1679	1	William Friedkin		
1680	1	Josef von Sternberg		
1681	1	Steven Rosenbaum		
1682	1	Linda Hattendorf		
1683	1	Costa-Gavras		
1684	1	Robert Iscove		
1685	1	Todd Holland		
1686	1	Karey Kirkpatrick		
1687	1	Bille Woodruff		
1688	1	Iain Softley		
1689	1	Terry Gilliam		
1690	1	Rob Marshall		
1691	1	Philip Boston		
1692	1	Amy Holden Jones		
1693	1	Robert Aldrich		
1694	1	John Huston		
1695	1	Michelangelo Antonioni		
1696	1	Josh Aronson		
1697	1	Jeff Bleckner		
1698	1	Kiefer Sutherland		
1699	1	Lucio Fulci		
1700	1	Nora Ephron		
1701	1	Jim Gillespie		
1702	1	Joe Pytka		
1703	1	Ed Solomon		
1704	1	Terry George		
1705	1	John Singleton		
1707	1	Mike Newell		
1708	1	Dein Perry		
1709	1	Michael Caleo		
1711	1	William Dear		
1712	1	Atom Egoyan		
1713	1	Joseph H. Lewis		
1714	1	Shane Meadows		
1715	1	Paul W.S. Anderson		
1716	1	Justin Lin		
1717	1	Paul Schrader		
1718	1	Pete Jones		
1719	1	Gus Van Sant		
1720	1	Eric Khoo		
1722	1	Mike Newell		
1723	1	Florent Emilio Siri		
1724	1	Shekhar Kapur		
1725	1	Peter O'Fallon		
1726	1	Russell Mulcahy		
1727	1	Jean-Marie Poir�		
1728	1	Wayne Wang		
1729	1	Jonathan Demme		
1731	1	Daniel Gordon		
1732	1	Eric Rohmer		
1733	1	Mary Olive Smith		
1734	1	Spike Lee		
1735	1	Norman Jewison		
1736	1	Yukihiko Tsutsumi		
1737	1	Damian Harris		
1738	1	Mario Van Peebles		
1739	1	Manuel Boursinhac		
1740	1	Willard Carroll		
1741	1	Gary Fleder		
1742	1	Kwyn Bader		
1743	1	Carlos �vila		
1744	1	Doug Lefler		
1745	1	Wes Craven		
1746	1	Damien Wayans		
1747	1	Frank Coraci		
1748	1	Herschell Gordon Lewis		
1749	1	Kenneth Branagh		
1751	1	Peter Segal		
1752	1	Joe Pytka		
1753	1	Robert Redford		
1754	1	Alan J. Pakula		
1755	1	Chico Teixeira		
1757	1	Alan G. Parker		
1758	1	David Nutter		
1759	1	Christopher Guest		
1760	1	Tim Burton		
1762	1	Martin Ritt		
1763	1	Penny Marshall		
1765	1	Yael Hersonski		
1766	1	Stanley Kubrick		
1767	1	Michael Moore		
1768	1	Daniel Adams		
1769	1	William Dear		
1770	1	Kenny Ortega		
1771	1	Sergio Arau		
1772	1	Christophe Gans		
1773	1	John Luessenhop		
1774	1	Dean Parisot		
1775	1	Greg Berlanti		
1776	1	Ari Gold		
1778	1	John Milius		
1779	1	Woody Allen		
1780	1	Heywood Gould		
1782	1	Richard Squires		
1783	1	Mark Meily		
1784	1	Paola di Florio		
1786	1	Victor Fleming		
1787	1	John De Bello		
1788	1	Ben Stassen		
1789	1	Sheldon Lettich		
1790	1	Laurent Cantet		
1791	1	Rob Sitch		
1792	1	Siddiq Barmak		
1794	1	Cameron Crowe		
1795	1	D.J. Caruso		
1796	1	Chris Weitz		
1797	1	Michael Ritchie		
1798	1	John Nicolella		
1799	1	Michael Gornick		
1800	1	Robert Harmon		
1801	1	Erik Skjoldbjaerg		
1802	1	Steve Oedekerk		
1803	1	George Bamber		
1804	1	Mikael Salomon		
1805	1	Chazz Palminteri		
1806	1	Antoine Fuqua		
1807	1	Sylvain White		
1808	1	Lexi Alexander		
1809	1	Rob Zombie		
1810	1	Roger Kumble		
1811	1	Martin Campbell		
1812	1	John Hamburg		
1813	1	Brad Silberling		
1814	1	Jim Abrahams		
1815	1	Charles Jarrott		
1816	1	Tommy O'Haver		
1817	1	Brad Gann		
1818	1	Agnieszka Holland		
1819	1	Louie Psihoyos		
1820	1	Ari Folman		
1821	1	Frank Lloyd		
1822	1	Errol Morris		
1823	1	Sergio Leone		
1824	1	Ron Howard		
1825	1	Dan Ireland		
1826	1	Steve Guttenberg		
1827	1	Khyentse Norbu		
1828	1	Carroll Ballard		
1829	1	Mark Hartley		
1831	1	Tom Gries		
1832	1	Anthony Mann		
1833	1	Jean Renoir		
1834	1	Brad Bird		
1835	1	Andrew Stanton		
1836	1	Jamie Uys		
1837	1	John Frankenheimer		
1838	1	Vadim Perelman		
1839	1	Brian DePalma		
1840	1	Gary Fleder		
1841	1	Andrew Douglas		
1842	1	P.J. Hogan		
1843	1	Nora Ephron		
1844	1	Emile Ardolino		
1845	1	Blake Edwards		
1846	1	Michael Radford		
1847	1	Paul Michael Glaser		
1848	1	Arne Glimcher		
1849	1	John Dahl		
1850	1	Bryan Johnson		
1851	1	Brian DePalma		
1853	1	Richard LaGravenese		
1854	1	Joseph Kahn		
1855	1	Paul McGuigan		
1856	1	Alain Resnais		
1857	1	Mikhail Kalatozov		
1858	1	Tay Garnett		
1859	1	Roland Emmerich		
1860	1	William Castle		
1861	1	Rudolph Mat�		
1862	1	Jonathan Berman		
1864	1	Stewart Hendler		
1866	1	Steven Brill		
1867	1	Trish Doolan		
1868	1	Vito Rocco		
1869	1	Rowan Joseph		
1870	1	Luis Bu�uel		
1871	1	John Dahl		
1872	1	Rob Schmidt		
1873	1	Bob Gosse		
1874	1	Christopher Guest		
1875	1	Tom Hooper		
1876	1	Lutz Hachmeister		
1877	1	John Huston		
1878	1	John Cassavetes		
1879	1	Buddy Van Horn		
1880	1	John Herzfeld		
1881	1	Christopher Cain		
1883	1	Menahem Golan		
1884	1	Michael Schultz		
1885	1	John Flynn		
1886	1	Bob Rafelson		
1887	1	Joshua Safdie		
1888	1	AJ Schnack		
1889	1	Paul Schrader		
1890	1	Pearl Gluck		
1891	1	Shawn Levy		
1892	1	Robert Rodriguez		
1893	1	Jon Avnet		
1894	1	Patricia Birch		
1895	1	Carl Schultz		
1896	1	Hal Ashby		
1897	1	Steven Spielberg		
1898	1	Elaine May		
1899	1	Eric Schaeffer		
1900	1	Rachel Talalay		
1901	1	Marc Forby		
1902	1	Warwick Thornton		
1903	1	Don Siegel		
1905	1	James Wan		
1906	1	George Hickenlooper		
1907	1	Simon West		
1908	1	Kevin Smith		
1909	1	Fraser Clarke Heston		
1910	1	Arthur Hiller		
1911	1	Douglas Cheek		
1912	1	Stephen Marshall		
1913	1	Robert Iscove		
1914	1	Marlene Rhein		
1915	1	Jeannot Szwarc		
1916	1	Howard Deutch		
1917	1	Yahoo Serious		
1918	1	Tom Holland		
1920	1	Michael Ritchie		
1921	1	Fisher Stevens		
1922	1	Andy Fickman		
1923	1	Andy Cadiff		
1924	1	Orson Welles		
1925	1	Jim Brown		
1926	1	Felix Moeller		
1927	1	Mick Garris		
1928	1	Bob Clark		
1929	1	Francis Ford Coppola		
1930	1	Barbet Schroeder		
1931	1	Josh Stolberg		
1932	1	Harold Becker		
1933	1	Wayne Kramer		
1934	1	Jim Sheridan		
1935	1	Garry Marshall		
1936	1	Lance Rivera		
1937	1	Rand Ravich		
1938	1	Philip Kaufman		
1939	1	Bruce Beresford		
1940	1	David Anspaugh		
1941	1	Sidney J. Furie		
1943	1	Federico Fellini		
1944	1	Fred M. Wilcox		
1945	1	Doug Block		
1946	1	Charles Shyer		
1947	1	Frederik Du Chau		
1949	1	Robert Zemeckis		
1950	1	Irvin Kershner		
1951	1	Matt Mahurin		
1952	1	Mariana Chenillo		
1953	1	Jan Sver�k		
1954	1	Les Mayfield		
1956	1	Todd Holland		
1958	1	Woody Allen		
1959	1	John Frankenheimer		
1960	1	Ang Lee		
1962	1	Robert Altman		
1963	1	Billy Wilder		
1965	1	Hart Bochner		
1966	1	Sven Pape		
1967	1	Jefery Levy		
1968	1	David Hackl		
1969	1	Roger Kumble		
1970	1	Troy Beyer		
1971	1	Jonathan Liebesman		
1972	1	Sara Sugarman		
1973	1	Harald Zwart		
1974	1	Diane English		
1975	1	Samuel Bayer		
1976	1	Peter Richardson		
1977	1	F�lix Enr�quez Alcal�		
1978	1	Wayne Beach		
1980	1	Arthur Hiller		
1981	1	Ren� Clair		
1982	1	Jack Clayton		
1983	1	Mike Figgis		
1984	1	Thom Andersen		
1986	1	Satyajit Ray		
1987	1	Sacha Bennett		
1988	1	Adam Hootnick		
1989	1	Robert Stevenson		
1990	1	Donald Petrie		
1991	1	Allan Moyle		
1992	1	Bruce McCulloch		
1993	1	Neal Israel		
1994	1	Wes Craven		
1995	1	Hugh Hudson		
1997	1	Tim Allen		
1998	1	Chantal Akerman		
1999	1	Ernest R. Dickerson		
0539	0	<NULL>		
0938	0	<NULL>		
