restaurant	gayot	cuisine			
1932	3	Sushi	Japanese	Sushi - Japanese	
1933	3	Japanese	Sushi	Japanese - Sushi	
1935	3	Southern	Creole	Southern - Creole	
1941	3	Steakhouse	California	Steakhouse - California	
1943	3	Chinese	Dim Sum	Chinese - Dim Sum	
1946	3	Seafood	Sandwiches	Seafood - Sandwiches	
1949	3	Contemporary	Asian	Contemporary - Asian	
1950	3	Wine Bar	Cheese	Wine Bar - Cheese	
1953	3	Cajun	Creole	Cajun - Creole	
1954	3	Creole	Contemporary	Creole - Contemporary	
1956	3	Creole	Asian	Creole - Asian	
1957	3	Chinese	Seafood	Chinese - Seafood	
1960	3	International	Eclectic	International - Eclectic	
1961	3	Pizza	Italian	Pizza - Italian	
1962	3	Steakhouse	Seafood	Steakhouse - Seafood	
1965	3	Buffet	French	Buffet - French	
1966	3	Deli	Sandwiches	Deli - Sandwiches	
1967	3	American	Small Plates	American - Small Plates	
1969	3	Japanese	Sushi	Japanese - Sushi	
1971	3	French	Moroccan	French - Moroccan	
1972	3	Italian	Small Plates	Italian - Small Plates	
1975	3	American	Desserts	American - Desserts	
1977	3	American	Bistro	American - Bistro	
1980	3	Crêpes	French	Crêpes - French	
1982	3	Philly Steak Sandwiches	Hoagies	Philly Steak Sandwiches - Hoagies	
1983	3	American	Southern	American - Southern	
1984	3	Cajun	Seafood	Cajun - Seafood	
1985	3	Italian	Pizza	Italian - Pizza	
1988	3	California	Breakfast	California - Breakfast	
1989	3	Contemporary	Breakfast	Contemporary - Breakfast	
1996	3	Indian	Vegetarian	Indian - Vegetarian	
0000	1	Bagels			
0001	1	Fondue			
0005	1	Diner			
0006	1	Colombian			
0008	1	Contemporary			
0009	1	Mexican			
0011	1	Ethiopian			
0012	1	American			
0013	1	Mediterranean			
0019	1	Thai			
0020	1	Indian			
0022	1	Japanese			
0023	1	Pizza			
0025	1	Italian			
0031	1	Contemporary			
0033	1	Contemporary			
0034	1	Seafood			
0038	1	Indian			
0044	1	Philly Steak Sandwiches			
0048	1	Pizza			
0051	1	Persian			
0056	1	Steakhouse			
0057	1	Steakhouse			
0058	1	Barbecue			
0061	1	American			
0062	1	Contemporary			
0063	1	Italian			
0064	1	European			
0065	1	Italian			
0067	1	Contemporary			
0069	1	American			
0070	1	Southwestern			
0071	1	Contemporary			
0076	1	Thai			
0078	1	Seafood			
0080	1	Seafood			
0081	1	Continental			
0082	1	Burgers			
0083	1	Italian			
0085	1	American			
0087	1	Italian			
0089	1	Ethiopian			
0093	1	Steakhouse			
0097	1	Italian			
0098	1	American			
0100	1	Vietnamese			
0102	1	Middle Eastern			
0103	1	Italian			
0106	1	Vegetarian			
0107	1	Pan-Asian			
0109	1	Chinese			
0110	1	Thai			
0111	1	Italian			
0112	1	Italian			
0116	1	Greek			
0117	1	Asian			
0118	1	Italian			
0119	1	American			
0120	1	Fusion			
0122	1	Bagels			
0123	1	Coffeehouse			
0124	1	Contemporary			
0125	1	Italian			
0126	1	Pizza			
0128	1	British			
0130	1	American			
0132	1	Italian			
0133	1	Pan-Asian			
0134	1	Bagels			
0135	1	Italian			
0136	1	American			
0137	1	Italian			
0138	1	Italian			
0140	1	Mexican			
0142	1	Pizza			
0143	1	American			
0144	1	English			
0147	1	American			
0148	1	American			
0149	1	Barbecue			
0151	1	Coffeehouse			
0152	1	American			
0153	1	Bagels			
0154	1	Italian			
0155	1	Coffeehouse			
0156	1	Coffeehouse			
0157	1	Italian			
0158	1	Bagels			
0159	1	American			
0160	1	Barbecue			
0161	1	Southern			
0163	1	Italian			
0171	1	American			
0172	1	Seafood			
0174	1	Italian			
0175	1	Contemporary			
0176	1	American			
0180	1	Barbecue			
0182	1	Modern American			
0183	1	Italian			
0184	1	Contemporary			
0186	1	American Regional			
0189	1	Vietnamese			
0196	1	Eastern European			
0198	1	Burgers			
0200	1	Mexican			
0201	1	Chinese			
0202	1	American			
0203	1	American			
0204	1	Italian			
0205	1	Steakhouse			
0206	1	Italian			
0207	1	Steakhouse			
0210	1	Seafood			
0211	1	Contemporary			
0212	1	American			
0213	1	Contemporary			
0214	1	Seafood			
0215	1	Italian			
0217	1	Seafood			
0218	1	Italian			
0224	1	Seafood			
0225	1	Steakhouse			
0226	1	California			
0227	1	Bakery			
0229	1	Contemporary			
0230	1	Seafood			
0231	1	Modern American			
0233	1	Italian			
0234	1	South American			
0235	1	Italian			
0240	1	Italian			
0241	1	Chinese			
0242	1	French			
0243	1	Seafood			
0244	1	Seafood			
0246	1	Italian			
0247	1	Seafood			
0250	1	Contemporary			
0251	1	Italian			
0261	1	Modern American			
0262	1	Modern American			
0264	1	Barbecue			
0265	1	American			
0267	1	Chinese			
0268	1	Seafood			
0270	1	Italian			
0271	1	American			
0274	1	Indian			
0275	1	Indian			
0279	1	Contemporary			
0281	1	Southwestern			
0284	1	Brewpub			
0287	1	Thai			
0290	1	French			
0291	1	French			
0293	1	Seafood			
0295	1	Barbecue			
0296	1	Italian			
0300	1	Mexican			
0301	1	Café			
0302	1	Barbecue			
0303	1	Mexican			
0304	1	Indian			
0305	1	Continental			
0307	1	American			
0308	1	Italian			
0311	1	American			
0313	1	Seafood			
0314	1	American			
0316	1	Chinese			
0317	1	Korean			
0319	1	Pizza			
0320	1	Chinese			
0324	1	American			
0326	1	Indian			
0327	1	Portuguese			
0329	1	Pizza			
0330	1	New American			
0331	1	Seafood			
0336	1	Seafood			
0337	1	Frozen Yogurt			
0338	1	Italian			
0341	1	Afghan			
0343	1	Southwestern			
0345	1	Seafood			
0348	1	Steakhouse			
0349	1	Seafood			
0350	1	French			
0353	1	American			
0358	1	Caribbean			
0360	1	Continental			
0361	1	Chinese			
0363	1	Japanese			
0364	1	Indian			
0365	1	Cuban			
0367	1	Italian			
0368	1	California			
0369	1	Italian			
0370	1	Barbecue			
0372	1	Brazilian			
0373	1	Barbecue			
0374	1	Steakhouse			
0377	1	Seafood			
0378	1	Contemporary			
0381	1	Italian			
0386	1	Ice Cream			
0388	1	Cuban			
0393	1	Italian			
0395	1	Deli			
0396	1	Chinese			
0397	1	American			
0409	1	Eclectic			
0412	1	Mexican			
0413	1	American			
0417	1	Seafood			
0419	1	Steakhouse			
0424	1	Steakhouse			
0425	1	American			
0426	1	Eclectic			
0428	1	Italian			
0430	1	American			
0432	1	Italian			
0438	1	Contemporary			
0441	1	Indian			
0442	1	Seafood			
0443	1	Wine Bar			
0446	1	California			
0447	1	Pacific Northwest			
0448	1	Italian			
0449	1	Cajun			
0451	1	Italian			
0453	1	Steakhouse			
0455	1	Tex-Mex			
0457	1	Italian			
0464	1	Contemporary			
0465	1	Italian			
0466	1	California			
0468	1	Steakhouse			
0471	1	Seafood			
0474	1	Contemporary			
0475	1	Italian			
0477	1	Seafood			
0478	1	Diner			
0484	1	Ice Cream			
0485	1	Italian			
0486	1	Contemporary			
0487	1	Contemporary			
0492	1	Italian			
0493	1	American			
0498	1	Tex-Mex			
0501	1	Italian			
0502	1	Mexican			
0503	1	Seafood			
0505	1	Crêpes			
0506	1	Deli			
0509	1	Northern Italian			
0511	1	Southern			
0512	1	American Regional			
0513	1	Southern			
0517	1	Southern			
0521	1	Fondue			
0523	1	Barbecue			
0524	1	American			
0527	1	Italian			
0529	1	Barbecue			
0535	1	Barbecue			
0536	1	Modern American			
0537	1	Steakhouse			
0538	1	Southwestern			
0540	1	Café			
0541	1	American			
0543	1	American			
0544	1	Barbecue			
0545	1	Barbecue			
0547	1	Tex-Mex			
0550	1	Seafood			
0551	1	Pan-Asian			
0554	1	Barbecue			
0556	1	Steakhouse			
0560	1	Contemporary			
0562	1	Seafood			
0566	1	American			
0569	1	California			
0571	1	Brewpub			
0572	1	Steakhouse			
0573	1	Mexican			
0574	1	Italian			
0576	1	Modern American			
0577	1	Italian			
0582	1	Sandwiches			
0583	1	Barbecue			
0585	1	French			
0586	1	Sandwiches			
0589	1	American			
0593	1	Deli			
0595	1	Southwestern			
0596	1	American			
0597	1	Chinese			
0598	1	Burgers			
0599	1	Southwestern			
0600	1	Moroccan			
0602	1	Pizza			
0605	1	Persian			
0606	1	Barbecue			
0607	1	Thai			
0610	1	Contemporary			
0611	1	Indian			
0613	1	Seafood			
0614	1	Mexican			
0615	1	Seafood			
0616	1	Southwestern			
0617	1	American			
0618	1	Burgers			
0619	1	Southern			
0620	1	Chinese			
0621	1	Indian			
0625	1	Jamaican			
0626	1	American			
0627	1	Indian			
0629	1	American			
0631	1	Steakhouse			
0633	1	Chinese			
0634	1	Mediterranean			
0635	1	Thai			
0636	1	American			
0640	1	Barbecue			
0642	1	Chinese			
0644	1	Burmese			
0645	1	Bakery			
0646	1	Lebanese			
0648	1	American			
0649	1	American			
0650	1	Bakery			
0652	1	American			
0654	1	Japanese			
0655	1	Italian			
0656	1	American			
0659	1	Modern American			
0661	1	Steakhouse			
0662	1	Steakhouse			
0664	1	Italian			
0666	1	Italian			
0667	1	Italian			
0668	1	Chinese			
0669	1	Seafood			
0672	1	Pizza			
0673	1	American			
0674	1	Seafood			
0675	1	Seafood			
0680	1	Thai			
0683	1	Seafood			
0684	1	Mexican			
0689	1	American			
0691	1	Mediterranean			
0692	1	Contemporary			
0695	1	Buffet			
0697	1	Continental			
0699	1	French			
0703	1	American Regional			
0707	1	Mexican			
0715	1	Steakhouse			
0720	1	Eclectic			
0722	1	Coffeehouse			
0723	1	Coffeehouse			
0724	1	Sushi			
0725	1	Mexican			
0728	1	Italian			
0733	1	Italian			
0734	1	American			
0739	1	Mexican			
0741	1	Middle Eastern			
0743	1	Cuban			
0748	1	Mexican			
0749	1	American			
0755	1	Japanese			
0756	1	Italian			
0761	1	California			
0763	1	Italian			
0764	1	Contemporary			
0768	1	Mexican			
0772	1	American			
0775	1	California			
0777	1	Italian			
0784	1	Deli			
0785	1	Italian			
0786	1	Frozen Yogurt			
0788	1	Contemporary			
0794	1	Diner			
0795	1	Brazilian			
0797	1	Italian			
0804	1	American			
0805	1	Fusion			
0807	1	Bakery			
0808	1	Mexican			
0809	1	German			
0811	1	Seafood			
0812	1	Burgers			
0813	1	American			
0815	1	American			
0816	1	Italian			
0817	1	Italian			
0818	1	Italian			
0819	1	Mexican			
0827	1	Chinese			
0829	1	Coffeehouse			
0832	1	Contemporary			
0833	1	Italian			
0835	1	American			
0836	1	Steakhouse			
0837	1	Brewpub			
0839	1	Mexican			
0840	1	Mexican			
0842	1	Steakhouse			
0843	1	Pan-Asian			
0844	1	Italian			
0845	1	Italian			
0846	1	French			
0847	1	Steakhouse			
0848	1	Italian			
0851	1	American			
0859	1	Cuban			
0860	1	Tex-Mex			
0861	1	Contemporary			
0863	1	French			
0864	1	Italian			
0865	1	American			
0867	1	Polynesian			
0868	1	American			
0869	1	Italian			
0870	1	American			
0871	1	Hot Dogs			
0872	1	Ice Cream			
0873	1	Cuban			
0874	1	Vietnamese			
0875	1	Burgers			
0876	1	Cuban			
0879	1	Ice Cream			
0881	1	Steakhouse			
0882	1	Steakhouse			
0885	1	Mexican			
0886	1	Steakhouse			
0888	1	American			
0890	1	Indian			
0891	1	Steakhouse			
0892	1	Spanish			
0894	1	Italian			
0895	1	Italian			
0897	1	Contemporary			
0898	1	American			
0899	1	Chinese			
0907	1	Mexican			
0909	1	Thai			
0911	1	Sushi			
0912	1	American			
0913	1	Barbecue			
0916	1	Bakery			
0917	1	Mexican			
0919	1	Steakhouse			
0920	1	Italian			
0921	1	Caribbean			
0922	1	Mediterranean			
0923	1	Seafood			
0924	1	Italian			
0925	1	Hawaii Regional			
0926	1	American			
0927	1	Italian			
0929	1	Chinese			
0934	1	American			
0935	1	American			
0936	1	Italian			
0937	1	Steakhouse			
0939	1	Burgers			
0943	1	Eclectic			
0949	1	American			
0950	1	Coffeehouse			
0951	1	Contemporary			
0953	1	French			
0958	1	Indian			
0959	1	Peruvian			
0969	1	Pizza			
0972	1	Contemporary			
0975	1	Hot Dogs			
0976	1	Mediterranean			
0977	1	Barbecue			
0980	1	Pizza			
0981	1	Pizza			
0983	1	Seafood			
0985	1	American			
0988	1	Bagels			
0989	1	Contemporary			
0990	1	Pizza			
0993	1	Chinese			
0995	1	Barbecue			
0996	1	Seafood			
0997	1	Italian			
1002	1	Seafood			
1003	1	Pizza			
1005	1	Ice Cream			
1007	1	Mexican			
1008	1	Italian			
1011	1	Buffet			
1012	1	Steakhouse			
1014	1	Steakhouse			
1016	1	Italian			
1017	1	Deli			
1019	1	New American			
1021	1	New Mexican			
1022	1	Barbecue			
1023	1	New American			
1025	1	Italian			
1026	1	Indian			
1031	1	Japanese			
1032	1	Italian			
1034	1	French			
1035	1	Indian			
1038	1	Italian			
1040	1	Modern American			
1041	1	Steakhouse			
1049	1	Italian			
1050	1	American			
1051	1	Japanese			
1052	1	Steakhouse			
1054	1	Fondue			
1058	1	Barbecue			
1062	1	Italian			
1065	1	Steakhouse			
1069	1	Italian			
1070	1	Seafood			
1071	1	Steakhouse			
1072	1	Seafood			
1073	1	French			
1075	1	Eclectic			
1079	1	Seafood			
1082	1	Contemporary			
1085	1	Greek			
1088	1	Italian			
1089	1	Barbecue			
1091	1	Contemporary			
1093	1	American Regional			
1094	1	American			
1095	1	Creole			
1096	1	Mexican			
1097	1	Tex-Mex			
1098	1	Café			
1102	1	Sandwiches			
1103	1	Brewpub			
1105	1	Contemporary			
1108	1	Italian			
1112	1	American			
1113	1	Italian			
1114	1	Mexican			
1115	1	Indian			
1116	1	Persian			
1120	1	Afghan			
1121	1	Chinese			
1125	1	Persian			
1126	1	Indian			
1128	1	Burgers			
1129	1	Seafood			
1130	1	French			
1132	1	Steakhouse			
1134	1	Contemporary			
1137	1	Barbecue			
1138	1	Thai			
1140	1	Thai			
1141	1	Coffeehouse			
1142	1	Thai			
1143	1	Japanese			
1150	1	French			
1154	1	Barbecue			
1156	1	Diner			
1157	1	Barbecue			
1158	1	Indian			
1160	1	Steakhouse			
1163	1	Spanish			
1168	1	Italian			
1169	1	Italian			
1174	1	Thai			
1175	1	Italian			
1177	1	Steakhouse			
1179	1	French			
1184	1	Brewpub			
1194	1	Burmese			
1196	1	Vietnamese			
1197	1	Noodles			
1198	1	Mexican			
1199	1	Chinese			
1205	1	Italian			
1208	1	Hawaii Regional			
1209	1	Seafood			
1210	1	Mediterranean			
1215	1	Mexican			
1218	1	Healthy			
1223	1	Thai			
1224	1	Moroccan			
1225	1	Steakhouse			
1228	1	Asian			
1229	1	Italian			
1231	1	Argentinean			
1236	1	French			
1237	1	Cuban			
1238	1	Caribbean			
1239	1	Seafood			
1243	1	International			
1247	1	Seafood			
1248	1	Japanese			
1249	1	Mexican			
1250	1	Ice Cream			
1251	1	Hawaii Regional			
1252	1	Hawaii Regional			
1254	1	American			
1255	1	Coffeehouse			
1256	1	Coffeehouse			
1257	1	Deli			
1264	1	Seafood			
1265	1	Chinese			
1266	1	Contemporary			
1267	1	American			
1270	1	American Regional			
1271	1	Diner			
1276	1	Italian			
1277	1	Irish			
1278	1	Tex-Mex			
1281	1	Indian			
1282	1	Thai			
1283	1	Brewpub			
1284	1	American			
1285	1	Indian			
1286	1	Peruvian			
1288	1	Lebanese			
1289	1	International			
1293	1	Contemporary			
1296	1	Chinese			
1300	1	Eclectic			
1301	1	Soup			
1304	1	Contemporary			
1309	1	Italian			
1310	1	Steakhouse			
1311	1	Buffet			
1315	1	Vietnamese			
1321	1	Peruvian			
1322	1	Mediterranean			
1325	1	Italian			
1328	1	Italian			
1331	1	Italian			
1332	1	Vietnamese			
1338	1	Italian			
1339	1	Greek			
1340	1	Pizza			
1342	1	Chinese			
1346	1	California			
1348	1	Middle Eastern			
1354	1	Indian			
1362	1	American			
1363	1	Italian			
1366	1	Contemporary			
1367	1	Italian			
1371	1	American			
1373	1	Italian			
1374	1	Steakhouse			
1375	1	Barbecue			
1376	1	Tex-Mex			
1377	1	Thai			
1380	1	Middle Eastern			
1381	1	Lebanese			
1383	1	Italian			
1385	1	Vietnamese			
1386	1	Sushi			
1388	1	Contemporary			
1392	1	Caribbean			
1393	1	Indian			
1398	1	Mexican			
1400	1	Contemporary			
1401	1	Contemporary			
1404	1	Italian			
1407	1	Café			
1408	1	Steakhouse			
1410	1	Café			
1412	1	American			
1413	1	Italian			
1416	1	Contemporary			
1419	1	Seafood			
1420	1	Eclectic			
1425	1	Mexican			
1426	1	Mexican			
1427	1	English			
1429	1	Seafood			
1431	1	Chinese			
1432	1	Mediterranean			
1433	1	Persian			
1436	1	Italian			
1438	1	Contemporary			
1440	1	Vietnamese			
1441	1	Brewpub			
1442	1	Mexican			
1443	1	Mexican			
1444	1	Italian			
1445	1	Coffee Shop			
1449	1	Seafood			
1450	1	Middle Eastern			
1453	1	Mexican			
1454	1	Mexican			
1458	1	French			
1461	1	Italian			
1462	1	American			
1463	1	Latin American			
1466	1	Café			
1468	1	Hawaii Regional			
1470	1	Japanese			
1472	1	Hot Dogs			
1473	1	Italian			
1474	1	Cuban			
1476	1	Pizza			
1479	1	Italian			
1481	1	Creole			
1482	1	Mexican			
1486	1	Seafood			
1487	1	American			
1490	1	Greek			
1492	1	Contemporary			
1496	1	Pizza			
1498	1	Mediterranean			
1500	1	Tex-Mex			
1502	1	Contemporary			
1504	1	New American			
1505	1	Indian			
1506	1	Barbecue			
1508	1	Pizza			
1510	1	American			
1511	1	Italian			
1512	1	Japanese			
1516	1	Barbecue			
1518	1	Mexican			
1519	1	Italian			
1520	1	Italian			
1522	1	Italian			
1523	1	Italian			
1525	1	African			
1526	1	Italian			
1529	1	Vietnamese			
1530	1	American			
1532	1	Italian			
1533	1	Coffeehouse			
1534	1	Philly Steak Sandwiches			
1537	1	Barbecue			
1541	1	American			
1542	1	Italian			
1547	1	Eclectic			
1548	1	Steakhouse			
1557	1	Thai			
1558	1	Donuts			
1559	1	Italian			
1562	1	Italian			
1566	1	California			
1568	1	Italian			
1569	1	Italian			
1571	1	Mexican			
1574	1	Greek			
1575	1	Breakfast			
1578	1	American			
1581	1	French			
1582	1	Italian			
1586	1	California			
1590	1	Chinese			
1591	1	American			
1594	1	Italian			
1597	1	Italian			
1601	1	Ice Cream			
1603	1	Ice Cream			
1604	1	Contemporary			
1610	1	American			
1613	1	Vietnamese			
1614	1	Italian			
1615	1	Sushi			
1616	1	Ice Cream			
1618	1	Chinese			
1620	1	Steakhouse			
1622	1	Creole			
1623	1	Sandwiches			
1624	1	Contemporary			
1625	1	Israeli			
1626	1	Latin American			
1628	1	Pan-Asian			
1633	1	Ice Cream			
1634	1	Contemporary			
1636	1	Chinese			
1638	1	American Regional			
1640	1	New American			
1641	1	American			
1644	1	Contemporary			
1645	1	Italian			
1646	1	Italian			
1647	1	Italian			
1648	1	Italian			
1649	1	Deli			
1650	1	American			
1653	1	American			
1655	1	American			
1659	1	Mexican			
1660	1	Pizza			
1662	1	Café			
1663	1	Café			
1664	1	Café			
1665	1	Café			
1666	1	Café			
1667	1	Coffeehouse			
1669	1	American			
1670	1	Ethiopian			
1673	1	Thai			
1675	1	Deli			
1676	1	American			
1680	1	Italian			
1682	1	Burgers			
1685	1	Mexican			
1686	1	Diner			
1688	1	Fusion			
1689	1	Diner			
1690	1	Italian			
1691	1	Seafood			
1696	1	Tex-Mex			
1697	1	Barbecue			
1698	1	Thai			
1699	1	Diner			
1701	1	Thai			
1702	1	Thai			
1703	1	Thai			
1704	1	Burgers			
1707	1	Mexican			
1712	1	Moroccan			
1714	1	Caribbean			
1715	1	Chinese			
1716	1	Sandwiches			
1718	1	Brazilian			
1720	1	Contemporary			
1721	1	Chicken			
1722	1	Steakhouse			
1724	1	Burgers			
1725	1	Sandwiches			
1726	1	Sandwiches			
1727	1	Sandwiches			
1728	1	Sandwiches			
1732	1	Continental			
1736	1	Fusion			
1737	1	American			
1739	1	Diner			
1741	1	Ice Cream			
1744	1	American			
1745	1	Contemporary			
1748	1	American			
1749	1	Barbecue			
1751	1	Pizza			
1752	1	Pizza			
1753	1	Barbecue			
1754	1	Steakhouse			
1757	1	Hawaii Regional			
1759	1	Contemporary			
1760	1	Italian			
1762	1	Bar			
1766	1	Tunisian			
1769	1	Tea Room			
1771	1	Steakhouse			
1772	1	Steakhouse			
1775	1	American			
1776	1	Modern American			
1778	1	Vietnamese			
1779	1	Thai			
1780	1	Italian			
1782	1	American			
1783	1	Italian			
1785	1	American			
1786	1	Italian			
1788	1	Italian			
1790	1	American			
1796	1	Frozen Yogurt			
1797	1	Italian			
1800	1	Ice Cream			
1801	1	Ethiopian			
1802	1	Steakhouse			
1803	1	French			
1805	1	Thai			
1809	1	Philly Steak Sandwiches			
1810	1	American			
1812	1	Vegan			
1813	1	Seafood			
1816	1	American			
1817	1	French			
1820	1	Café			
1824	1	Persian			
1825	1	Contemporary			
1831	1	Vietnamese			
1833	1	American			
1834	1	Latin American			
1835	1	Coffeehouse			
1836	1	Coffeehouse			
1839	1	Thai			
1841	1	Eclectic			
1842	1	Lounge			
1844	1	Pizza			
1845	1	Mexican			
1847	1	Frozen Yogurt			
1849	1	Italian			
1852	1	Bakery			
1853	1	Italian			
1858	1	New American			
1860	1	Mexican			
1862	1	Continental			
1863	1	Barbecue			
1865	1	Contemporary			
1869	1	Southwestern			
1871	1	Ethiopian			
1872	1	Argentinean			
1875	1	Contemporary			
1878	1	Thai			
1879	1	Thai			
1883	1	Thai			
1887	1	Burgers			
1888	1	Burgers			
1889	1	Ice Cream			
1891	1	Italian			
1893	1	Steakhouse			
1894	1	Russian			
1896	1	Italian			
1898	1	Pizza			
1899	1	Italian			
1900	1	Indonesian			
1901	1	Indian			
1902	1	Indian			
1909	1	American			
1910	1	Philly Steak Sandwiches			
1911	1	Afghan			
1912	1	Indian			
1913	1	Chinese			
1914	1	Contemporary			
1915	1	Tex-Mex			
1916	1	Mexican			
1917	1	Italian			
1918	1	Latin American			
1919	1	Italian			
1921	1	Contemporary			
1924	1	Seafood			
1927	1	Japanese			
1929	1	Italian			
1930	1	Italian			
1934	1	Eclectic			
1937	1	Steakhouse			
1938	1	Chinese			
1940	1	Pan-Asian			
1944	1	Southern			
1945	1	American			
1947	1	Thai			
1948	1	Cuban			
1951	1	French			
1958	1	Italian			
1959	1	Italian			
1963	1	Cuban			
1964	1	Italian			
1974	1	Italian			
1976	1	Diner			
1978	1	Asian			
1979	1	Indian			
1986	1	California			
1993	1	Chinese			
1994	1	Burgers			
1995	1	Italian			
1997	1	Italian			
1998	1	Vietnamese			
1999	1	Greek			
