restaurant	urbanspoon	cuisine			
0256	3	Bakery	Coffee	Bakery - Coffee	
0259	3	Italian	Pizza	Italian - Pizza	
0263	3	Chinese	Asian	Chinese - Asian	
0268	3	American	Breakfast/Brunch	American - Breakfast/Brunch	
0269	3	Burgers	Fast Food	Burgers - Fast Food	
0271	3	Greek	Mediterranean	Greek - Mediterranean	
0275	3	American	Breakfast/Brunch	American - Breakfast/Brunch	
0278	3	Asian	Thai	Asian - Thai	
0280	3	Mediterranean	Greek	Mediterranean - Greek	
0281	3	Pub Food	English/Irish	Pub Food - English/Irish	
0286	3	Italian	Pizza	Italian - Pizza	
0287	3	Asian	Chinese	Asian - Chinese	
0289	3	Italian	Pizza	Italian - Pizza	
0291	3	Southern &amp; Soul	American	Southern &amp; Soul - American	
0294	3	Steakhouse	Brazilian	Steakhouse - Brazilian	
0297	3	Mexican	Tex-Mex	Mexican - Tex-Mex	
0298	3	Tacos	Latin American	Tacos - Latin American	
0299	3	Pizza	Italian	Pizza - Italian	
0301	3	Mexican	Tex-Mex	Mexican - Tex-Mex	
0302	3	Southwestern	Steakhouse	Southwestern - Steakhouse	
0305	3	Japanese	Sushi	Japanese - Sushi	
0308	3	Pizza	Italian	Pizza - Italian	
0312	3	Thai	Asian	Thai - Asian	
0314	3	American	Breakfast/Brunch	American - Breakfast/Brunch	
0315	3	Italian	American	Italian - American	
0319	3	American	French	American - French	
0328	3	Mexican	Tex-Mex	Mexican - Tex-Mex	
0330	3	Middle Eastern	Vegetarian	Middle Eastern - Vegetarian	
0334	3	Mexican	Tex-Mex	Mexican - Tex-Mex	
0335	3	Pizza	American	Pizza - American	
0336	3	Vietnamese	Asian	Vietnamese - Asian	
0339	3	Seafood	Sushi	Seafood - Sushi	
0341	3	American	Italian	American - Italian	
0349	3	Sandwiches/Subs	Soups	Sandwiches/Subs - Soups	
0354	3	Breakfast/Brunch	American	Breakfast/Brunch - American	
0359	3	Barbecue	Pub Food	Barbecue - Pub Food	
0362	3	Burgers	American	Burgers - American	
0363	3	Breakfast/Brunch	European	Breakfast/Brunch - European	
0364	3	Hot Dogs	American	Hot Dogs - American	
0365	3	Cuban	Caribbean	Cuban - Caribbean	
0367	3	Mediterranean	Middle Eastern	Mediterranean - Middle Eastern	
0369	3	American	Steakhouse	American - Steakhouse	
0371	3	International	American	International - American	
0373	3	Middle Eastern	Mediterranean	Middle Eastern - Mediterranean	
0375	3	Mexican	Tex-Mex	Mexican - Tex-Mex	
0378	3	Italian	Pizza	Italian - Pizza	
0381	3	Italian	Pizza	Italian - Pizza	
0383	3	Desserts/Ice Cream	Sandwiches/Subs	Desserts/Ice Cream - Sandwiches/Subs	
0385	3	American	Burgers	American - Burgers	
0386	3	Steakhouse	Seafood	Steakhouse - Seafood	
0387	3	Breakfast/Brunch	Desserts/Ice Cream	Breakfast/Brunch - Desserts/Ice Cream	
0388	3	California	Pub Food	California - Pub Food	
0396	3	Smoothies	American	Smoothies - American	
0398	3	American	Breakfast/Brunch	American - Breakfast/Brunch	
0400	3	Japanese	Sushi	Japanese - Sushi	
0403	3	Italian	Pizza	Italian - Pizza	
0408	3	Pub Food	Burgers	Pub Food - Burgers	
0412	3	Pub Food	Soups	Pub Food - Soups	
0415	3	Buffet	Asian	Buffet - Asian	
0418	3	Sushi	Japanese	Sushi - Japanese	
0422	3	Tapas	Spanish	Tapas - Spanish	
0427	3	Mediterranean	Middle Eastern	Mediterranean - Middle Eastern	
0429	3	Italian	Pizza	Italian - Pizza	
0432	3	Burgers	Hot Dogs	Burgers - Hot Dogs	
0433	3	Pizza	American	Pizza - American	
0434	3	Seafood	Steakhouse	Seafood - Steakhouse	
0437	3	Coffee	American	Coffee - American	
0439	3	Caribbean	Cuban	Caribbean - Cuban	
0443	3	American	Breakfast/Brunch	American - Breakfast/Brunch	
0446	3	Hawaiian	Desserts/Ice Cream	Hawaiian - Desserts/Ice Cream	
0448	3	Hawaiian	Asian	Hawaiian - Asian	
0457	3	Steakhouse	American	Steakhouse - American	
0464	3	Coffee	Breakfast/Brunch	Coffee - Breakfast/Brunch	
0466	3	Sushi	Japanese	Sushi - Japanese	
0467	3	American	Breakfast/Brunch	American - Breakfast/Brunch	
0469	3	Italian	Pizza	Italian - Pizza	
0471	3	American	Burgers	American - Burgers	
0473	3	Seafood	Steakhouse	Seafood - Steakhouse	
0474	3	Indian	Vegetarian	Indian - Vegetarian	
0477	3	Seafood	Steakhouse	Seafood - Steakhouse	
0480	3	Pizza	Sandwiches/Subs	Pizza - Sandwiches/Subs	
0481	3	Italian	Wine Bar	Italian - Wine Bar	
0485	3	Pizza	Sandwiches/Subs	Pizza - Sandwiches/Subs	
0487	3	Tapas	Spanish	Tapas - Spanish	
0488	3	French	American	French - American	
0491	3	French	Breakfast/Brunch	French - Breakfast/Brunch	
0498	3	Burgers	Hot Dogs	Burgers - Hot Dogs	
0499	3	Steakhouse	Japanese	Steakhouse - Japanese	
0500	3	Pizza	Italian	Pizza - Italian	
0504	3	Seafood	American	Seafood - American	
0505	3	Middle Eastern	Greek	Middle Eastern - Greek	
0521	3	American	Burgers	American - Burgers	
0525	3	American	Pub Food	American - Pub Food	
0534	3	Steakhouse	Japanese	Steakhouse - Japanese	
0540	3	American	Barbecue	American - Barbecue	
0546	3	American	Tea	American - Tea	
0551	3	Barbecue	Pub Food	Barbecue - Pub Food	
0552	3	Pizza	Italian	Pizza - Italian	
0553	3	Pizza	Italian	Pizza - Italian	
0554	3	Pizza	Italian	Pizza - Italian	
0555	3	Asian	Chinese	Asian - Chinese	
0558	3	American	Barbecue	American - Barbecue	
0559	3	Japanese	Asian	Japanese - Asian	
0560	3	American	Barbecue	American - Barbecue	
0563	3	Southwestern	American	Southwestern - American	
0565	3	Brazilian	Steakhouse	Brazilian - Steakhouse	
0566	3	Sushi	Japanese	Sushi - Japanese	
0568	3	Mexican	Spanish	Mexican - Spanish	
0569	3	Seafood	Steakhouse	Seafood - Steakhouse	
0571	3	Breakfast/Brunch	Buffet	Breakfast/Brunch - Buffet	
0574	3	Mediterranean	California	Mediterranean - California	
0576	3	American	Breakfast/Brunch	American - Breakfast/Brunch	
0577	3	Japanese	Sushi	Japanese - Sushi	
0578	3	American	Breakfast/Brunch	American - Breakfast/Brunch	
0579	3	Asian	Chinese	Asian - Chinese	
0580	3	Thai	Asian	Thai - Asian	
0581	3	Seafood	American	Seafood - American	
0582	3	American	Sandwiches/Subs	American - Sandwiches/Subs	
0584	3	Sushi	Japanese	Sushi - Japanese	
0587	3	Seafood	American	Seafood - American	
0590	3	Burgers	Hot Dogs	Burgers - Hot Dogs	
0592	3	American	Steakhouse	American - Steakhouse	
0594	3	Japanese	Sushi	Japanese - Sushi	
0595	3	Indian	Vegetarian	Indian - Vegetarian	
0596	3	Pizza	Italian	Pizza - Italian	
0599	3	Sandwiches/Subs	Soups	Sandwiches/Subs - Soups	
0604	3	Italian	Pizza	Italian - Pizza	
0607	3	Desserts/Ice Cream	Smoothies	Desserts/Ice Cream - Smoothies	
0609	3	Chinese	Dim Sum	Chinese - Dim Sum	
0611	3	Asian	Thai	Asian - Thai	
0612	3	Italian	Pizza	Italian - Pizza	
0614	3	Organic	Tea	Organic - Tea	
0615	3	American	Steakhouse	American - Steakhouse	
0619	3	Indian	Vegetarian	Indian - Vegetarian	
0623	3	Sushi	Japanese	Sushi - Japanese	
0627	3	Italian	European	Italian - European	
0628	3	Pizza	Sandwiches/Subs	Pizza - Sandwiches/Subs	
0632	3	Coffee	Bakery	Coffee - Bakery	
0634	3	Donuts	Coffee	Donuts - Coffee	
0638	3	German	European	German - European	
0641	3	Seafood	American	Seafood - American	
0642	3	Sushi	Japanese	Sushi - Japanese	
0644	3	Italian	Sandwiches/Subs	Italian - Sandwiches/Subs	
0647	3	Sandwiches/Subs	California	Sandwiches/Subs - California	
0652	3	Pub Food	American	Pub Food - American	
0653	3	Pizza	Italian	Pizza - Italian	
0655	3	Steakhouse	Japanese	Steakhouse - Japanese	
0657	3	Italian	Pizza	Italian - Pizza	
0662	3	Steakhouse	American	Steakhouse - American	
0667	3	Italian	Pizza	Italian - Pizza	
0670	3	Brazilian	Sushi	Brazilian - Sushi	
0676	3	Japanese	Sushi	Japanese - Sushi	
0677	3	Italian	Pizza	Italian - Pizza	
0679	3	Asian	Chinese	Asian - Chinese	
0689	3	American	Burgers	American - Burgers	
0694	3	Pizza	Italian	Pizza - Italian	
0696	3	Cuban	Caribbean	Cuban - Caribbean	
0697	3	Asian	Thai	Asian - Thai	
0704	3	Pizza	Italian	Pizza - Italian	
0712	3	Steakhouse	Seafood	Steakhouse - Seafood	
0714	3	Sushi	Thai	Sushi - Thai	
0719	3	Sushi	International	Sushi - International	
0721	3	Sushi	Japanese	Sushi - Japanese	
0722	3	American	Greek	American - Greek	
0727	3	Southern &amp; Soul	American	Southern &amp; Soul - American	
0728	3	French	Cajun/Creole	French - Cajun/Creole	
0730	3	Cajun/Creole	French	Cajun/Creole - French	
0731	3	Sushi	Japanese	Sushi - Japanese	
0735	3	Italian	Pizza	Italian - Pizza	
0739	3	French	Breakfast/Brunch	French - Breakfast/Brunch	
0740	3	Pizza	Italian	Pizza - Italian	
0741	3	American	Desserts/Ice Cream	American - Desserts/Ice Cream	
0744	3	Pizza	Italian	Pizza - Italian	
0745	3	American	Southern &amp; Soul	American - Southern &amp; Soul	
0747	3	Asian	Chinese	Asian - Chinese	
0751	3	Pizza	Italian	Pizza - Italian	
0754	3	American	Modern American	American - Modern American	
0760	3	Italian	Seafood	Italian - Seafood	
0761	3	American	French	American - French	
0763	3	Pizza	Italian	Pizza - Italian	
0766	3	Chinese	Asian	Chinese - Asian	
0770	3	Italian	Pizza	Italian - Pizza	
0775	3	Italian	Seafood	Italian - Seafood	
0778	3	Italian	Vegetarian	Italian - Vegetarian	
0783	3	Diner	Sandwiches/Subs	Diner - Sandwiches/Subs	
0790	3	Latin American	Cuban	Latin American - Cuban	
0791	3	Italian	American	Italian - American	
0794	3	Pizza	Italian	Pizza - Italian	
0797	3	Barbecue	Portuguese	Barbecue - Portuguese	
0798	3	Chinese	Noodle Shop	Chinese - Noodle Shop	
0801	3	Pizza	Italian	Pizza - Italian	
0807	3	Chinese	Japanese	Chinese - Japanese	
0809	3	American	European	American - European	
0812	3	Steakhouse	Japanese	Steakhouse - Japanese	
0817	3	Spanish	Portuguese	Spanish - Portuguese	
0818	3	Sushi	Japanese	Sushi - Japanese	
0822	3	Burgers	Diner	Burgers - Diner	
0829	3	Burgers	Vegetarian	Burgers - Vegetarian	
0830	3	American	California	American - California	
0834	3	Burgers	Diner	Burgers - Diner	
0835	3	Japanese	Sushi	Japanese - Sushi	
0838	3	Breakfast/Brunch	Modern American	Breakfast/Brunch - Modern American	
0839	3	French	Bakery	French - Bakery	
0841	3	Chinese	Asian	Chinese - Asian	
0846	3	Mexican	Tex-Mex	Mexican - Tex-Mex	
0851	3	Mexican	Tex-Mex	Mexican - Tex-Mex	
0852	3	Pizza	Italian	Pizza - Italian	
0855	3	Italian	American	Italian - American	
0859	3	Mexican	Tex-Mex	Mexican - Tex-Mex	
0861	3	Tacos	Mexican	Tacos - Mexican	
0862	3	Italian	Steakhouse	Italian - Steakhouse	
0864	3	Steakhouse	American	Steakhouse - American	
0866	3	Middle Eastern	Mediterranean	Middle Eastern - Mediterranean	
0868	3	Steakhouse	American	Steakhouse - American	
0874	3	Asian	Chinese	Asian - Chinese	
0875	3	American	Burgers	American - Burgers	
0876	3	Cajun/Creole	Seafood	Cajun/Creole - Seafood	
0878	3	Mexican	Breakfast/Brunch	Mexican - Breakfast/Brunch	
0879	3	Thai	Vietnamese	Thai - Vietnamese	
0880	3	Italian	Breakfast/Brunch	Italian - Breakfast/Brunch	
0881	3	Sandwiches/Subs	Salads	Sandwiches/Subs - Salads	
0882	3	Sushi	Japanese	Sushi - Japanese	
0886	3	Italian	Pizza	Italian - Pizza	
0888	3	Japanese	Sushi	Japanese - Sushi	
0891	3	Italian	Pizza	Italian - Pizza	
0892	3	American	Seafood	American - Seafood	
0894	3	American	Burgers	American - Burgers	
0898	3	American	Steakhouse	American - Steakhouse	
0903	3	African	Buffet	African - Buffet	
0906	3	Tapas	Spanish	Tapas - Spanish	
0907	3	American	Sushi	American - Sushi	
0908	3	American	Desserts/Ice Cream	American - Desserts/Ice Cream	
0916	3	Japanese	Sushi	Japanese - Sushi	
0918	3	Barbecue	American	Barbecue - American	
0921	3	Japanese	Sushi	Japanese - Sushi	
0924	3	Cheesesteak	Sandwiches/Subs	Cheesesteak - Sandwiches/Subs	
0932	3	American	International	American - International	
0935	3	Pizza	Sandwiches/Subs	Pizza - Sandwiches/Subs	
0937	3	Pub Food	American	Pub Food - American	
0941	3	Steakhouse	American	Steakhouse - American	
0944	3	Pub Food	American	Pub Food - American	
0945	3	Seafood	American	Seafood - American	
0948	3	American	Pub Food	American - Pub Food	
0949	3	Organic	Modern American	Organic - Modern American	
0958	3	Italian	Pizza	Italian - Pizza	
0959	3	Italian	Pizza	Italian - Pizza	
0961	3	Seafood	Cajun/Creole	Seafood - Cajun/Creole	
0962	3	Pizza	Italian	Pizza - Italian	
0964	3	Breakfast/Brunch	American	Breakfast/Brunch - American	
0965	3	Asian	Thai	Asian - Thai	
0971	3	Vietnamese	Vegetarian	Vietnamese - Vegetarian	
0972	3	Pizza	Italian	Pizza - Italian	
0977	3	Sushi	Japanese	Sushi - Japanese	
0978	3	Burgers	American	Burgers - American	
0981	3	Pub Food	Burgers	Pub Food - Burgers	
0984	3	French	Coffee	French - Coffee	
0986	3	Latin American	Tapas	Latin American - Tapas	
0989	3	French	Breakfast/Brunch	French - Breakfast/Brunch	
0990	3	Thai	Vegetarian	Thai - Vegetarian	
0998	3	Pizza	Italian	Pizza - Italian	
0999	3	Teriyaki	Japanese	Teriyaki - Japanese	
1001	3	Japanese	Asian	Japanese - Asian	
1004	3	Seafood	Northwest	Seafood - Northwest	
1005	3	Pizza	Sandwiches/Subs	Pizza - Sandwiches/Subs	
1008	3	Japanese	Sushi	Japanese - Sushi	
1011	3	Pizza	Fast Food	Pizza - Fast Food	
1015	3	Italian	French	Italian - French	
1021	3	Caribbean	Latin American	Caribbean - Latin American	
1023	3	International	Italian	International - Italian	
1024	3	Modern American	Gastropub	Modern American - Gastropub	
1026	3	Asian	Korean	Asian - Korean	
1028	3	International	American	International - American	
1031	3	Pizza	Italian	Pizza - Italian	
1034	3	Mexican	Southwestern	Mexican - Southwestern	
1037	3	Pizza	Italian	Pizza - Italian	
1043	3	American	Pub Food	American - Pub Food	
1046	3	Southern &amp; Soul	Cajun/Creole	Southern &amp; Soul - Cajun/Creole	
1047	3	Burgers	American	Burgers - American	
1049	3	Japanese	Sushi	Japanese - Sushi	
1052	3	Vietnamese	Asian	Vietnamese - Asian	
1057	3	Burgers	American	Burgers - American	
1059	3	Thai	Vegetarian	Thai - Vegetarian	
1060	3	American	California	American - California	
1070	3	Japanese	Steakhouse	Japanese - Steakhouse	
1082	3	Seafood	Steakhouse	Seafood - Steakhouse	
1085	3	Bakery	Sandwiches/Subs	Bakery - Sandwiches/Subs	
1087	3	Japanese	Sushi	Japanese - Sushi	
1093	3	Vegetarian	Fast Food	Vegetarian - Fast Food	
1096	3	Japanese	Sushi	Japanese - Sushi	
1100	3	American	California	American - California	
1109	3	International	Indian	International - Indian	
1112	3	International	American	International - American	
1114	3	German	Pub Food	German - Pub Food	
1115	3	Bakery	Donuts	Bakery - Donuts	
1119	3	Vegetarian	American	Vegetarian - American	
1124	3	American	Burgers	American - Burgers	
1126	3	Pizza	Italian	Pizza - Italian	
1131	3	Mexican	Tex-Mex	Mexican - Tex-Mex	
1132	3	Sushi	Japanese	Sushi - Japanese	
1134	3	American	European	American - European	
1136	3	Sushi	Japanese	Sushi - Japanese	
1142	3	Italian	Mediterranean	Italian - Mediterranean	
1145	3	Pizza	Italian	Pizza - Italian	
1148	3	American	Burgers	American - Burgers	
1149	3	Sushi	Japanese	Sushi - Japanese	
1150	3	Seafood	American	Seafood - American	
1153	3	Spanish	Tapas	Spanish - Tapas	
1154	3	Japanese	Sushi	Japanese - Sushi	
1164	3	Tacos	Mexican	Tacos - Mexican	
1174	3	California	Breakfast/Brunch	California - Breakfast/Brunch	
1175	3	Seafood	Modern American	Seafood - Modern American	
1176	3	Southern &amp; Soul	Breakfast/Brunch	Southern &amp; Soul - Breakfast/Brunch	
1177	3	Italian	Pizza	Italian - Pizza	
1183	3	Italian	Seafood	Italian - Seafood	
1187	3	Greek	Mediterranean	Greek - Mediterranean	
1189	3	Northwest	American	Northwest - American	
1191	3	Vietnamese	Vegetarian	Vietnamese - Vegetarian	
1193	3	Italian	Seafood	Italian - Seafood	
1194	3	Pizza	Italian	Pizza - Italian	
1195	3	Coffee	Desserts/Ice Cream	Coffee - Desserts/Ice Cream	
1198	3	American	Wine Bar	American - Wine Bar	
1200	3	American	Pub Food	American - Pub Food	
1202	3	American	Seafood	American - Seafood	
1204	3	Greek	Mediterranean	Greek - Mediterranean	
1209	3	American	Pub Food	American - Pub Food	
1212	3	Italian	American	Italian - American	
1223	3	Sushi	Japanese	Sushi - Japanese	
1228	3	Pub Food	Burgers	Pub Food - Burgers	
1229	3	Italian	Wine Bar	Italian - Wine Bar	
1243	3	Wine Bar	American	Wine Bar - American	
1246	3	Asian	Vietnamese	Asian - Vietnamese	
1249	3	American	Desserts/Ice Cream	American - Desserts/Ice Cream	
1250	3	Spanish	Tapas	Spanish - Tapas	
1257	3	Bakery	Sandwiches/Subs	Bakery - Sandwiches/Subs	
1260	3	Italian	Pizza	Italian - Pizza	
1263	3	Mexican	California	Mexican - California	
1265	3	Tacos	Mexican	Tacos - Mexican	
1266	3	Italian	Pizza	Italian - Pizza	
1267	3	Tacos	Mexican	Tacos - Mexican	
1272	3	American	Fast Food	American - Fast Food	
1277	3	Pub Food	American	Pub Food - American	
1278	3	Japanese	Sushi	Japanese - Sushi	
1279	3	Pizza	Sandwiches/Subs	Pizza - Sandwiches/Subs	
1280	3	Steakhouse	Seafood	Steakhouse - Seafood	
1282	3	Mexican	Tex-Mex	Mexican - Tex-Mex	
1283	3	Italian	Pizza	Italian - Pizza	
1286	3	Japanese	Steakhouse	Japanese - Steakhouse	
1287	3	Diner	Asian	Diner - Asian	
1293	3	Japanese	Sushi	Japanese - Sushi	
1300	3	Mediterranean	International	Mediterranean - International	
1301	3	Pizza	Italian	Pizza - Italian	
1303	3	Tapas	Spanish	Tapas - Spanish	
1305	3	Seafood	American	Seafood - American	
1307	3	Burgers	Fast Food	Burgers - Fast Food	
1313	3	Chicken	African	Chicken - African	
1321	3	Burgers	Fast Food	Burgers - Fast Food	
1322	3	Pizza	Italian	Pizza - Italian	
1328	3	American	Sandwiches/Subs	American - Sandwiches/Subs	
1330	3	Southwestern	Barbecue	Southwestern - Barbecue	
1331	3	Pizza	Wine Bar	Pizza - Wine Bar	
1336	3	Pizza	Italian	Pizza - Italian	
1341	3	New Mexican	Mexican	New Mexican - Mexican	
1342	3	Thai	Vegetarian	Thai - Vegetarian	
1343	3	Pizza	Italian	Pizza - Italian	
1350	3	Tapas	American	Tapas - American	
1351	3	Asian	Chinese	Asian - Chinese	
1355	3	Sandwiches/Subs	Breakfast/Brunch	Sandwiches/Subs - Breakfast/Brunch	
1360	3	Mexican	New Mexican	Mexican - New Mexican	
1362	3	Pub Food	Sandwiches/Subs	Pub Food - Sandwiches/Subs	
1364	3	American	Fast Food	American - Fast Food	
1365	3	Mexican	New Mexican	Mexican - New Mexican	
1369	3	Mexican	New Mexican	Mexican - New Mexican	
1372	3	Mexican	Southwestern	Mexican - Southwestern	
1373	3	Coffee	Diner	Coffee - Diner	
1378	3	Pizza	Buffet	Pizza - Buffet	
1384	3	Burgers	Hot Dogs	Burgers - Hot Dogs	
1388	3	Mexican	New Mexican	Mexican - New Mexican	
1391	3	Thai	Vegetarian	Thai - Vegetarian	
1393	3	Thai	Asian	Thai - Asian	
1395	3	Seafood	Sandwiches/Subs	Seafood - Sandwiches/Subs	
1405	3	Sushi	Japanese	Sushi - Japanese	
1408	3	Pizza	Italian	Pizza - Italian	
1410	3	Bakery	Sandwiches/Subs	Bakery - Sandwiches/Subs	
1412	3	Sushi	Japanese	Sushi - Japanese	
1421	3	Barbecue	Korean	Barbecue - Korean	
1423	3	Hawaiian	Burgers	Hawaiian - Burgers	
1437	3	Japanese	Sushi	Japanese - Sushi	
1440	3	Pub Food	International	Pub Food - International	
1445	3	American	Diner	American - Diner	
1447	3	Tacos	Mexican	Tacos - Mexican	
1471	3	Coffee	Diner	Coffee - Diner	
1475	3	Desserts/Ice Cream	Smoothies	Desserts/Ice Cream - Smoothies	
1477	3	Mexican	American	Mexican - American	
1480	3	Modern American	Tapas	Modern American - Tapas	
1481	3	Italian	Pizza	Italian - Pizza	
1482	3	Seafood	Cajun/Creole	Seafood - Cajun/Creole	
1483	3	French	Mediterranean	French - Mediterranean	
1484	3	American	Pub Food	American - Pub Food	
1485	3	Cuban	Latin American	Cuban - Latin American	
1490	3	Mexican	California	Mexican - California	
1493	3	Southern &amp; Soul	Modern American	Southern &amp; Soul - Modern American	
1496	3	Sushi	Thai	Sushi - Thai	
1497	3	Sushi	American	Sushi - American	
1498	3	American	Smoothies	American - Smoothies	
1499	3	American	Burgers	American - Burgers	
1501	3	Thai	Sushi	Thai - Sushi	
1502	3	Barbecue	Burgers	Barbecue - Burgers	
1503	3	American	Sandwiches/Subs	American - Sandwiches/Subs	
1504	3	American	Pub Food	American - Pub Food	
1506	3	Chinese	Asian	Chinese - Asian	
1509	3	Southern &amp; Soul	American	Southern &amp; Soul - American	
1512	3	Burgers	Hot Dogs	Burgers - Hot Dogs	
1513	3	Mediterranean	Italian	Mediterranean - Italian	
1517	3	Turkish	Mediterranean	Turkish - Mediterranean	
1520	3	Coffee	Donuts	Coffee - Donuts	
1521	3	Asian	Chinese	Asian - Chinese	
1538	3	Mexican	Tex-Mex	Mexican - Tex-Mex	
1541	3	American	Diner	American - Diner	
1544	3	Modern American	Southern &amp; Soul	Modern American - Southern &amp; Soul	
1545	3	Mexican	Vegetarian	Mexican - Vegetarian	
1547	3	Indian	Seafood	Indian - Seafood	
1548	3	Pub Food	Sandwiches/Subs	Pub Food - Sandwiches/Subs	
1549	3	Thai	Asian	Thai - Asian	
1556	3	Sushi	Vegetarian	Sushi - Vegetarian	
1561	3	Mexican	American	Mexican - American	
1562	3	Mexican	American	Mexican - American	
1565	3	American	Burgers	American - Burgers	
1567	3	French	Thai	French - Thai	
1570	3	Steakhouse	American	Steakhouse - American	
1572	3	Steakhouse	American	Steakhouse - American	
1574	3	International	Pub Food	International - Pub Food	
1579	3	Mexican	Fast Food	Mexican - Fast Food	
1594	3	American	Sandwiches/Subs	American - Sandwiches/Subs	
1601	3	Mexican	Tex-Mex	Mexican - Tex-Mex	
1604	3	Italian	Pizza	Italian - Pizza	
1606	3	Mexican	Tex-Mex	Mexican - Tex-Mex	
1611	3	Breakfast/Brunch	American	Breakfast/Brunch - American	
1612	3	Tacos	Mexican	Tacos - Mexican	
1615	3	Coffee	Bakery	Coffee - Bakery	
1616	3	Burgers	Breakfast/Brunch	Burgers - Breakfast/Brunch	
1617	3	Fast Food	Chicken	Fast Food - Chicken	
1621	3	Chinese	Korean	Chinese - Korean	
1628	3	Chinese	Dim Sum	Chinese - Dim Sum	
1629	3	Tex-Mex	Mexican	Tex-Mex - Mexican	
1631	3	Cajun/Creole	Southern &amp; Soul	Cajun/Creole - Southern &amp; Soul	
1639	3	Steakhouse	American	Steakhouse - American	
1657	3	Asian	Sushi	Asian - Sushi	
1663	3	Pub Food	American	Pub Food - American	
1668	3	French	Caribbean	French - Caribbean	
1671	3	Wine Bar	Tapas	Wine Bar - Tapas	
1677	3	Seafood	Italian	Seafood - Italian	
1678	3	Burgers	Fast Food	Burgers - Fast Food	
1679	3	Fast Food	American	Fast Food - American	
1681	3	Middle Eastern	Afghan	Middle Eastern - Afghan	
1693	3	Bakery	Greek	Bakery - Greek	
1695	3	Latin American	Mexican	Latin American - Mexican	
1697	3	Bakery	Middle Eastern	Bakery - Middle Eastern	
1701	3	Sandwiches/Subs	Fast Food	Sandwiches/Subs - Fast Food	
1703	3	Modern American	Wine Bar	Modern American - Wine Bar	
1711	3	Southern &amp; Soul	Breakfast/Brunch	Southern &amp; Soul - Breakfast/Brunch	
1720	3	Pizza	Sandwiches/Subs	Pizza - Sandwiches/Subs	
1728	3	Mexican	Fast Food	Mexican - Fast Food	
1730	3	Sandwiches/Subs	Eastern European	Sandwiches/Subs - Eastern European	
1731	3	Coffee	American	Coffee - American	
1738	3	Asian	Chinese	Asian - Chinese	
1762	3	Southern &amp; Soul	Fast Food	Southern &amp; Soul - Fast Food	
1766	3	Sandwiches/Subs	Soups	Sandwiches/Subs - Soups	
1767	3	Donuts	Bakery	Donuts - Bakery	
1768	3	French	Southern &amp; Soul	French - Southern &amp; Soul	
1771	3	Fast Food	Smoothies	Fast Food - Smoothies	
1773	3	Bakery	Breakfast/Brunch	Bakery - Breakfast/Brunch	
1774	3	Bakery	Sandwiches/Subs	Bakery - Sandwiches/Subs	
1775	3	Fast Food	Burgers	Fast Food - Burgers	
1788	3	Seafood	Steakhouse	Seafood - Steakhouse	
1789	3	American	Fast Food	American - Fast Food	
1790	3	Coffee	Tea	Coffee - Tea	
1793	3	Vegetarian	Mexican	Vegetarian - Mexican	
1796	3	Burgers	Fast Food	Burgers - Fast Food	
1806	3	Fast Food	Burgers	Fast Food - Burgers	
1810	3	Mediterranean	Greek	Mediterranean - Greek	
1812	3	American	Burgers	American - Burgers	
1814	3	Bakery	Sandwiches/Subs	Bakery - Sandwiches/Subs	
1819	3	Bakery	Sandwiches/Subs	Bakery - Sandwiches/Subs	
1827	3	Barbecue	American	Barbecue - American	
1842	3	Middle Eastern	Kosher	Middle Eastern - Kosher	
1844	3	Coffee	Diner	Coffee - Diner	
1847	3	Italian	Sandwiches/Subs	Italian - Sandwiches/Subs	
1848	3	Italian	Pizza	Italian - Pizza	
1849	3	Italian	Pizza	Italian - Pizza	
1851	3	Coffee	Tea	Coffee - Tea	
1858	3	Breakfast/Brunch	American	Breakfast/Brunch - American	
1862	3	Burgers	American	Burgers - American	
1863	3	Seafood	Chinese	Seafood - Chinese	
1868	3	Soups	Pizza	Soups - Pizza	
1871	3	American	International	American - International	
1873	3	Indian	Pakistani	Indian - Pakistani	
1883	3	Italian	Desserts/Ice Cream	Italian - Desserts/Ice Cream	
1884	3	Italian	Pizza	Italian - Pizza	
1885	3	Pub Food	American	Pub Food - American	
1888	3	Vegetarian	Organic	Vegetarian - Organic	
1893	3	Barbecue	Chinese	Barbecue - Chinese	
1896	3	Asian	Chinese	Asian - Chinese	
1900	3	Coffee	Donuts	Coffee - Donuts	
1904	3	Burgers	Fast Food	Burgers - Fast Food	
1906	3	Italian	Pizza	Italian - Pizza	
1907	3	French	American	French - American	
1912	3	Italian	Modern American	Italian - Modern American	
1915	3	Vietnamese	Asian	Vietnamese - Asian	
1938	3	Pub Food	American	Pub Food - American	
1941	3	Mediterranean	Fast Food	Mediterranean - Fast Food	
1951	3	Pizza	Italian	Pizza - Italian	
1952	3	Italian	Pizza	Italian - Pizza	
1957	3	Burgers	American	Burgers - American	
1960	3	Mediterranean	Greek	Mediterranean - Greek	
1981	3	Sandwiches/Subs	Pizza	Sandwiches/Subs - Pizza	
1988	3	Greek	American	Greek - American	
1997	3	Pizza	Italian	Pizza - Italian	
0002	1	Brazilian			
0004	1	Indian			
0005	1	Indian			
0010	1	French			
0011	1	Pub Food			
0012	1	Sushi			
0013	1	Breakfast/Brunch			
0020	1	Asian			
0022	1	Sandwiches/Subs			
0026	1	Mexican			
0029	1	Coffee			
